item;alias;sessionuid;road;stretchs;secc;pk;sentido;on_change_measure;param1_brand;param2_model
2;SCJS04P-9+272;_SCJS04P;D4;D4_3:Ketelec-Rovinca;;9+272;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
3;RNRJS22P-9+982;_RNRJS22P;D4;D4_3:Ketelec-Rovinca;;9+982;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
4;RNRJS23P-10+328;_RNRJS23P;D4;D4_3:Ketelec-Rovinca;;10+328;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
5;RNRJS24P-10+901;_RNRJS24P;D4;D4_3:Ketelec-Rovinca;;10+901;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
6;RNRJS25P-11+101;_RNRJS25P;D4;D4_3:Ketelec-Rovinca;;11+101;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
7;RNRJS26P-11+892;_RNRJS26P;D4;D4_3:Ketelec-Rovinca;;11+892;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
8;RNRJS27L-12+095;_RNRJS27L;D4;D4_3:Ketelec-Rovinca;;12+095;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
9;RNRJS28P-12+736;_RNRJS28P;D4;D4_3:Ketelec-Rovinca;;12+736;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
10;RNRJS29P-13+316;_RNRJS29P;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
11;RNRJS30P-14+062;_RNRJS30P;D4;D4_4:Rovinka-Pod.Biskupice;;14+062;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
12;RNRJS31P-14+498;_RNRJS31P;D4;D4_4:Rovinka-Pod.Biskupice;;14+498;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
13;RNRJS32P-15+274;_RNRJS32P;D4;D4_4:Rovinka-Pod.Biskupice;;15+274;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
14;RNRJS33P-15+698;_RNRJS33P;D4;D4_4:Rovinka-Pod.Biskupice;;15+698;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
15;RNRJS34P-16+363;_RNRJS34P;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
16;RNRJS35P-16+96;_RNRJS35P;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
17;RNRJS36P-17+52;_RNRJS36P;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+520;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
18;RNRJS37P-18+04;_RNRJS37P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+040;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
19;RNRJS38P-19+015;_RNRJS38P;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+015;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
20;RNRJS39P-19+565;_RNRJS39P;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+565;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
21;RNRJS40P-20+451;_RNRJS40P;D4;D4_5:Pod.Biskupice-Ivanka západ;;20+451;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
22;RNRJS41P-21+09;_RNRJS41P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+090;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
23;RNRJS42P-21+608;_RNRJS42P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+608;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
24;RNRJS43P-21+914;_RNRJS43P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+914;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
25;RNRJS44P-22+606;_RNRJS44P;D4;D4_3:Ketelec-Rovinca;;22+606;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
26;RNRJS45P-23+018;_RNRJS45P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+018;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
27;RNRJS46P-23+406;_RNRJS46P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
28;RNRJS47P-23+598;_RNRJS47P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+598;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
29;RNRJS48P-24+27;_RNRJS48P;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
30;RNRJS49P-24+614;_RNRJS49P;D4;D4_3:Ketelec-Rovinca;;24+614;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
34;RNRKD01L-6+347;_RNRKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;6+347;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
35;RNRKD03L-7+217;_RNRKD03L;R7;R7_2:Ketelec-Dunajská Lužná;;7+217;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
36;RNRKD08L-8+767;_RNRKD08L;R7;R7_2:Ketelec-Dunajská Lužná;;8+767;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
37;RNRKD09L-10+557;_RNRKD09L;R7;R7_2:Ketelec-Dunajská Lužná;;10+557;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
38;RNRKD10L-12+359;_RNRKD10L;R7;R7_2:Ketelec-Dunajská Lužná;;12+359;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
39;RNRKD11L-14+157;_RNRKD11L;R7;R7_2:Ketelec-Dunajská Lužná;;14+157;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
40;SCJS05P-23+849;_SCJS05P;D4;D4_6:Ivanka západ-Ivanka sever;;23+849;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
41;SCJS02P-1+896;_SCJS02P;D4;D4_1:Jarovce-Rusovce;;1+896;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
42;RNRJS02L-1+965;_RNRJS02L;D4;D4_1:Jarovce-Rusovce;;1+965;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
43;RNRJS03P-2+314;_RNRJS03P;D4;D4_1:Jarovce-Rusovce;;2+314;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
44;SCJS03L-2+441;_SCJS03L;D4;D4_1:Jarovce-Rusovce;;2+441;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
45;RNRJS04L-2+256;_RNRJS04L;D4;D4_1:Jarovce-Rusovce;;2+256;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
46;RNRJS05L-2+946;_RNRJS05L;D4;D4_1:Jarovce-Rusovce;;2+946;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
47;RNRJS07L-3+515;_RNRJS07L;D4;D4_1:Jarovce-Rusovce;;3+515;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
48;RNRJS08L-3+803;_RNRJS08L;D4;D4_1:Jarovce-Rusovce;;3+803;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
49;RNRJS09L-4+289;_RNRJS09L;D4;D4_1:Jarovce-Rusovce;;4+289;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
50;RNRJS14P-7+894;_RNRJS14P;D4;D4_2:Rusovce-Ketelec;;7+894;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
51;RNRJS17P-8+678;_RNRJS17P;D4;D4_2:Rusovce-Ketelec;;8+678;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
52;RADJS20P-0+402 VETVY PS;_RADJS20P;D4;D4_2:Rusovce-Ketelec;;0+402 VETVY PS;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
53;RNRSR01P-25+13;_RNRSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+13;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
54;RNRSR03P-25+685;_RNRSR03P;D4;D4_7:Ivanka sever-Cierna voda;;25+685;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
55;RNRSR05P-26+361;_RNRSR05P;D4;D4_8:Cierna voda-Raca;;26+361;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
56;SCSR01P-26+58;_SCSR01P;D4;D4_8:Cierna voda-Raca;;26+58;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
57;RNRSR06P-27+015;_RNRSR06P;D4;D4_8:Cierna voda-Raca;;27+015;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
58;RNRSR07L-27+113;_RNRSR07L;D4;D4_8:Cierna voda-Raca;;27+113;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
59;RNRSR08P-28+328;_RNRSR08P;D4;D4_8:Cierna voda-Raca;;28+328;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
60;SCSR02P-0+234 V4;_SCSR02P;D4;D4_8:Cierna voda-Raca;;0+234 V4;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
61;SCSR03P-0+262 V3;_SCSR03P;D4;D4_8:Cierna voda-Raca;;0+262 V3;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
62;RNRMP01-0+193;_RNRMP01;R7;R7_1:Prievoz-Ketelec;;0+193;P;EtdParamsAdapterTFA.groovy;Siemens;TM241
63;RNRPK01L-0+412;_RNRPK01L;R7;R7_1:Prievoz-Ketelec;;0+412;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
64;RNRPK03L-0+832;_RNRPK03L;R7;R7_1:Prievoz-Ketelec;;0+832;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
65;RNRPK04L-1+065;_RNRPK04L;R7;R7_1:Prievoz-Ketelec;;1+065;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
66;RNRPK06L-1+923;_RNRPK06L;R7;R7_1:Prievoz-Ketelec;;1+923;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
67;RNRPK07L-2+597;_RNRPK07L;R7;R7_1:Prievoz-Ketelec;;2+597;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
68;RNRPK08L-2+853;_RNRPK08L;R7;R7_1:Prievoz-Ketelec;;2+853;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
69;RNRPK09L-4+153;_RNRPK09L;R7;R7_1:Prievoz-Ketelec;;4+153;L;EtdParamsAdapterTFA.groovy;Siemens;TM241
