Parent_type;Child_type;Parent;Child;child_inheritable_state_id
54;3;1;1;3
54;3;1;2;3
54;3;1;3;3
54;3;1;4;3
54;3;2;5;3
54;3;2;6;3
54;3;2;7;3
54;3;2;8;3
54;3;3;9;3
54;3;3;10;3
54;3;3;11;3
54;3;3;12;3
54;3;4;13;3
54;3;4;14;3
54;3;4;15;3
54;3;4;16;3
54;3;5;17;3
54;3;5;18;3
54;3;5;19;3
54;3;5;20;3
54;3;6;21;3
54;3;6;22;3
54;3;6;23;3
54;3;6;24;3
54;3;7;25;3
54;3;7;26;3
54;3;7;27;3
54;3;7;28;3
54;3;8;29;3
54;3;8;30;3
54;3;8;31;3
54;3;8;32;3
7;54;2;1;
7;54;2;2;
7;54;2;3;
7;54;2;4;
7;54;2;5;
7;54;2;6;
7;54;2;7;
7;54;2;8;
