id;value;type;param;param_type;protocol_type;protocol_param_id
63;25;1;1001;2;1;1
64;26;1;1001;2;1;1
65;27;1;1001;2;1;1
66;31;1;1001;2;1;1
67;28;1;1001;2;1;1
77;33;1;1001;2;1;1
78;34;1;1001;2;1;1
80;32;1;1001;2;1;1
81;35;1;1001;2;1;1
82;30;1;1001;2;1;1
84;29;1;1001;2;1;1
85;36;1;1001;2;1;1
152;39;1;1001;2;1;1
315;5;1;1001;2;1;1
316;6;1;1001;2;1;1
317;7;1;1001;2;1;1
318;8;1;1001;2;1;1
319;9;1;1001;2;1;1
320;10;1;1001;2;1;1
321;11;1;1001;2;1;1
322;12;1;1001;2;1;1
323;13;1;1001;2;1;1
324;14;1;1001;2;1;1
328;37;1;1001;2;1;1
501;38;1;1001;2;1;1
505;15;1;1001;2;1;1
506;16;1;1001;2;1;1
507;17;1;1001;2;1;1
508;18;1;1001;2;1;1
509;19;1;1001;2;1;1
510;20;1;1001;2;1;1
511;21;1;1001;2;1;1
512;22;1;1001;2;1;1
513;23;1;1001;2;1;1
514;24;1;1001;2;1;1
743;3;1;1002;2;1;1
744;4;1;1002;2;1;1
745;1;1;1002;2;1;1
746;2;1;1002;2;1;1
