element_type_id;element
1;WEATHER_STATION
2;CAMERA
3;DETECTOR
4;SECTION
5;PA_SYSTEM
6;SEGMENT
7;ZONE
8;BARRIER
9;JETFAN
10;VMS Text 4 Lines
11;SOS
12;LUX
13;SEM
14;LUM
15;FIRE_DET
16;PA_ZONE
17;GALIBO
18;ANEM_INT
19;CO
20;NO
21;OPAC
22;VALVULAS
23;BAT_CONDEN
24;AXIALFAN
25;ELECTRICAL_CABINET
26;VMS Matricial 64x64
27;VMS A_B
28;VMS Matricial 192x64
29;fibrolaser
30;VMS Matricial 128x64
31;VMS Temperature
32;VMS Weight
33;VMS_TRUCK_ALPHA
34;ELECTRICAL_CABINET_SCN
35;VMS Graphic-Text-Graphic
36;VMS Graphic-Text
37;VMS Text-Graphic
38;VMS Text
39;HORIZONTAL ACCESS
40;PRESENCE_DETECTION
41;ELECTRICAL_CABINET_ATC
42;ELECTRICAL_CABINET_NRL
43;ELECTRICAL_CABINET_NRS
44;ELECTRICAL_CABINET_TFA_3D
45;ELECTRICAL_CABINET_TFA_Loops
46;ELECTRICAL_CABINET_TOLL
47;ELECTRICAL_CABINET_TU
48;VMS CPU
49;VMS Graphic
50;ROADWAY
51;ETD
52;DAI SERVER
53;SEM_2_LUCES
54;ATC
55;CT
56;UNIFILAR
57;INTERRUPTOR
58;PULSADOR
59;SMOKE_DETECTOR
60;SIRENA
61;FIRE_DET_CT
64;VMS_SNOW
65;SAI
66;Vane
68;TFA_3D
69;VMS Weight Limit
70;ANALIZADOR_RED
71;Panel
72;no_element
73;no_element
74;ERU
75;GE
76;no_element
77;no_element
78;no_element
79;no_element
80;no_element
81;VISIBILIMETER
82;ACCELEROMETER
83;RADAR
84;LIGHTING_CIRCUIT
85;DALI
86;no_element
87;no_element
88;no_element
89;GATE
90;no_element
91;no_element
92;no_element
93;no_element
94;no_element
95;no_element
96;no_element
97;RTMS
1000;CC
2000;TUBE
2001;VENTILATION
2002;ILLUMINATION
