PK;Element Detection Name;Road;Panel NR n Name;Panel NR n pk;Panel NR n-1 Name;Panel NR n-1 pk;Panel NR n-2 Name;Panel NR n-2 pk
72+503;MD247;D2;NRLJS255 ;72+103;NRLJS254 ;73+423;NRLJS253 ;74+788
72+503;MD247;D2;NRLJS242 ;70+952;NRLJS240 ;70+190;;
2+936;MDJS401L;D4;NRLJS495L;2+94;NRLJS497L;1+965; ; 
3+705;MZJS499L;D4;NRLJS494L;3+793;NRLJS495L;2+94;NRLJS497L;1+965
5+144;MDJS402;D4;NRLJS492L;5+148;NRLJS494L;3+793;NRLJS495L;2+94
5+776;MZJS498;D4;NRLJS492L;5+148;NRLJS494L;3+793;NRLJS495L;2+94
6+238;MZJS497;D4;NRLJS492L;5+148;NRLJS494L;3+793;NRLJS495L;2+94
7+554;MDJS403;D4;NRLJS491L;6+438;NRLJS492L;5+148;NRLJS494L;3+793
10+882;MDJS404L;D4;NRJS487L;10+332;NRJS488L;9+177;NRLJS490L;7+894
12+367;MZJS496L;D4;NRJS484L;12+089;NRJS485L;11+136;NRJS487L;10+332
14+057;MDJS405P;D4;NRJS484L;12+089;NRJS482L;13+319;NRJS481L;14+488
16+964;MDJS406P;D4;NRJS478L;16+963;NRJS480L;15+688;NRJS481L;14+488
18+838;MZJS402P;D4;NRJS477L;18+038;NRJS478L;16+963;NRJS480L;15+688
20+453;MDJS407P;D4;NRJS476L;19+563;NRJS477L;18+038;NRJS478L;16+963
23+852;MZJS496P;D4;NRJS473L;1+412 BV LK;NRJS472L;1+227 BV LK;NRJS470L;0+5627 BV LK
24+267;MDJS408P;D4;NRJS470L;0+562 BV LK;NRJS469L;24+613;NRSR467L;25+688
27+111;MDSR409L;D4;NRSR466L;26+361;NRSR467L;25+688;NRJS469L;24+613
29+006;MZSR403P;D4;NRSR466L;26+361;NRSR464L;27+113;NRSR463L;28+328
