item;alias;description;sessionuid;road;stretchs;pk
1;SOS 40;SOS 40;SOS 40;UF 1;UF 1;0+010
2;SOS 41;SOS 41;SOS 41;UF 1;UF 1;0+020
3;SOS 42;SOS 42;SOS 42;UF 1;UF 1;0+030
4;SOS 43;SOS 43;SOS 43;UF 1;UF 1;0+040
5;SOS 44;SOS 44;SOS 44;UF 1;UF 1;0+050
6;SOS 45;SOS 45;SOS 45;UF 1;UF 1;0+060
7;SOS 46;SOS 46;SOS 46;UF 1;UF 1;0+070
8;SOS 47;SOS 47;SOS 47;UF 1;UF 1;0+080
9;SOS 48;SOS 48;SOS 48;UF 1;UF 1;0+090
10;SOS 49;SOS 49;SOS 49;UF 1;UF 1;0+100
11;SOS 50;SOS 50;SOS 50;UF 1;UF 1;0+110
12;SOS 51;SOS 51;SOS 51;UF 1;UF 1;0+120
13;SOS 52;SOS 52;SOS 52;UF 1;UF 1;0+130
14;SOS 57;SOS 57;SOS 57;UF 1;UF 1;0+140
15;SOS 58;SOS 58;SOS 58;UF 1;UF 1;0+150
16;SOS 59;SOS 59;SOS 59;UF 1;UF 1;0+160
17;SOS 60;SOS 60;SOS 60;UF 1;UF 1;0+170
18;SOS 61;SOS 61;SOS 61;UF 1;UF 1;0+180
19;SOS 62;SOS 62;SOS 62;UF 1;UF 1;0+190
20;SOS 63;SOS 63;SOS 63;UF 1;UF 1;0+200
21;SOS 64;SOS 64;SOS 64;UF 1;UF 1;0+210
22;SOS 65;SOS 65;SOS 65;UF 1;UF 1;0+220
23;SOS 66;SOS 66;SOS 66;UF 1;UF 1;0+230
24;SOS 67;SOS 67;SOS 67;UF 1;UF 1;0+240
25;SOS 68;SOS 68;SOS 68;UF 1;UF 1;0+250
26;SOS 69;SOS 69;SOS 69;UF 1;UF 1;0+260
27;SOS 70;SOS 70;SOS 70;UF 1;UF 1;0+270
28;SOS 71;SOS 71;SOS 71;UF 1;UF 1;0+280
29;SOS 72;SOS 72;SOS 72;UF 1;UF 1;0+290
30;SOS 73;SOS 73;SOS 73;UF 1;UF 1;0+300
31;SOS 74;SOS 74;SOS 74;UF 1;UF 1;0+310
32;SOS 75;SOS 75;SOS 75;UF 1;UF 1;0+320
33;SOS 76;SOS 76;SOS 76;UF 1;UF 1;0+330
34;SOS 77;SOS 77;SOS 77;UF 1;UF 1;0+340
35;SOS 78;SOS 78;SOS 78;UF 1;UF 1;0+350
36;SOS 79;SOS 79;SOS 79;UF 1;UF 1;0+360
37;SOS 80;SOS 80;SOS 80;UF 1;UF 1;0+370
38;SOS 81;SOS 81;SOS 81;UF 1;UF 1;0+380
39;SOS 82;SOS 82;SOS 82;UF 1;UF 1;0+390
40;SOS 83;SOS 83;SOS 83;UF 1;UF 1;0+400
41;SOS 84;SOS 84;SOS 84;UF 1;UF 1;0+410
42;SOS 85;SOS 85;SOS 85;UF 1;UF 1;0+420
43;SOS 86;SOS 86;SOS 86;UF 1;UF 1;0+430
44;SOS 87;SOS 87;SOS 87;UF 1;UF 1;0+440
45;SOS 88;SOS 88;SOS 88;UF 1;UF 1;0+450
46;SOS 89;SOS 89;SOS 89;UF 1;UF 1;0+460
47;SOS 90;SOS 90;SOS 90;UF 1;UF 1;0+470
48;SOS 91;SOS 91;SOS 91;UF 1;UF 1;0+480
49;SOS 92;SOS 92;SOS 92;UF 1;UF 1;0+490
