location_id;alias
1; pk 0+010
2; pk 0+020
3; pk 0+030
4; pk 0+040
5; pk 0+050
6; pk 0+010
7; pk 0+020
8; pk 0+030
9; pk 0+040
10; pk 0+050
11; pk 0+060
12; pk 0+070
13; pk 0+080
14; pk 0+090
15; pk 0+100
16; pk 0+110
17; pk 0+120
18; pk 0+130
19; pk 0+140
20; pk 0+150
21; pk 0+160
22; pk 0+170
23; pk 0+180
24; pk 0+190
25; pk 0+200
26; pk 0+210
27; pk 0+220
28; pk 0+230
29; pk 0+240
30; pk 0+250
31; pk 0+260
32; pk 0+270
33; pk 0+280
34; pk 0+290
35; pk 0+300
36; pk 0+310
37; pk 0+320
38; pk 0+330
39; pk 0+340
40; pk 0+350
41; pk 0+010
42; pk 0+020
43; pk 0+030
44; pk 0+040
45; pk 0+050
46; pk 0+060
47; pk 0+070
48; pk 0+080
49; pk 0+090
50; pk 0+100
51; pk 0+110
52; pk 0+120
53; pk 0+130
54; pk 0+140
55; pk 0+150
56; pk 0+160
57; pk 0+170
58; pk 0+180
59; pk 0+190
60; pk 0+200
61; pk 0+210
62; pk 0+220
63; pk 0+230
64; pk 0+240
65; pk 0+250
66; pk 0+260
67; pk 0+270
68; pk 0+280
69; pk 0+290
70; pk 0+300
71; pk 0+310
72; pk 0+320
73; pk 0+330
74; pk 0+340
75; pk 0+350
76; pk 0+360
77; pk 0+370
78; pk 0+380
79; pk 0+390
80; pk 0+400
81; pk 0+410
82; pk 0+420
83; pk 0+430
84; pk 0+440
85; pk 0+450
86; pk 0+460
87; pk 0+470
88; pk 0+480
89; pk 0+490
90; pk 0+010
91; pk 0+020
92; pk 0+030
93; pk 0+040
94; pk 0+050
95; pk 0+060
96; pk 0+070
97; pk 0+080
98; pk 0+090
99; pk 0+100
100; pk 0+110
101; pk 0+120
102; pk 0+130
103; pk 0+140
104; pk 0+150
105; pk 0+160
106; pk 0+170
107; pk 0+180
108; pk 0+190
109; pk 0+200
110; pk 0+210
111; pk 0+220
112; pk 0+230
113; pk 0+240
114; pk 0+010
115; pk 0+020
116; pk 0+030
117; pk 0+040
118; pk 0+050
119; pk 0+060
120; pk 0+070
121; pk 0+080
122; pk 0+090
123; pk 0+100
124; pk 0+110
125; pk 0+120
126; pk 0+130
127; pk 0+140
128; pk 0+150
129; pk 0+160
130; pk 0+170
131; pk 0+180
132; pk 0+190
133; pk 0+200
134; pk 0+210
135; pk 0+220
136; pk 0+230
137; pk 0+240
138; pk 0+240
139; pk 0+240
140; pk 0+240
141; pk 0+240
142; pk 0+240
143; pk 0+240
144; pk 0+240
145; pk 0+240
146; pk 0+240
147; pk 0+240
148; pk 0+240
149; pk 0+240
150; pk 0+240
151; pk 0+240
152; pk 0+240
153; pk 0+240
154; pk 0+240
155; pk 0+240
156; pk 0+240
