item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_alarm;on_change_state;on_change_measure
1;VEN-3-25-DP-2;VEN-3-25-DP-2;VEN-3-25-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
2;VEN-3-26-DP-2;VEN-3-26-DP-2;VEN-3-26-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
3;VEN-3-21-DP-2;VEN-3-21-DP-2;VEN-3-21-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
4;VEN-3-22-DP-2;VEN-3-22-DP-2;VEN-3-22-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
5;VEN-3-23-DP-2;VEN-3-23-DP-2;VEN-3-23-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
6;VEN-3-24-DP-2;VEN-3-24-DP-2;VEN-3-24-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
7;VEN-3-17-DP-2;VEN-3-17-DP-2;VEN-3-17-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
8;VEN-3-18-DP-2;VEN-3-18-DP-2;VEN-3-18-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
9;VEN-3-19-DP-2;VEN-3-19-DP-2;VEN-3-19-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
10;VEN-3-20-DP-2;VEN-3-20-DP-2;VEN-3-20-DP-2;Autovía A-4;Despeñaperros;;Córdoba;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
