item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;4;PSE-1-01-DP;PSE-1-01-DP - Esclavo;PSE-1-01-DP;Autovía A-4;Despeñaperros;248+600;Madrid;Equitel;E301
2;4;PSI-1-01-DP;PSI-1-01-DP - Maestro;PSI-1-01-DP;Autovía A-4;Despeñaperros;248+500;Madrid;Equitel;E301
3;4;PSI-1-02-DP;PSI-1-02-DP - Esclavo;PSI-1-02-DP;Autovía A-4;Despeñaperros;248+400;Madrid;Equitel;E301
4;4;PSI-1-03-DP;PSI-1-03-DP - Maestro;PSI-1-03-DP;Autovía A-4;Despeñaperros;248+300;Madrid;Equitel;E301
5;4;PSI-1-04-DP;PSI-1-04-DP - Maestro;PSI-1-04-DP;Autovía A-4;Despeñaperros;248+200;Madrid;Equitel;E301
6;4;PSI-1-05-DP;PSI-1-05-DP - Maestro;PSI-1-05-DP;Autovía A-4;Despeñaperros;248+100;Madrid;Equitel;E301
7;4;PSI-1-06-DP;PSI-1-06-DP - Maestro;PSI-1-06-DP;Autovía A-4;Despeñaperros;247+900;Madrid;Equitel;E301
8;4;PSI-1-07-DP;PSI-1-07-DP - Maestro;PSI-1-07-DP;Autovía A-4;Despeñaperros;247+800;Madrid;Equitel;E301
9;4;PSI-1-08-DP;PSI-1-08-DP - Maestro;PSI-1-08-DP;Autovía A-4;Despeñaperros;247+700;Madrid;Equitel;E301
10;4;PSI-1-09-DP;PSI-1-09-DP - Esclavo;PSI-1-09-DP;Autovía A-4;Despeñaperros;247+600;Madrid;Equitel;E301
11;4;PSI-1-10-DP;PSI-1-10-DP - Maestro;PSI-1-10-DP;Autovía A-4;Despeñaperros;247+500;Madrid;Equitel;E301
12;4;PSI-1-11-DP;PSI-1-11-DP - Esclavo;PSI-1-11-DP;Autovía A-4;Despeñaperros;247+400;Madrid;Equitel;E301
13;4;PSI-1-12-DP;PSI-1-12-DP - Maestro;PSI-1-12-DP;Autovía A-4;Despeñaperros;247+300;Madrid;Equitel;E301
14;4;PSI-1-13-DP;PSI-1-13-DP - Maestro;PSI-1-13-DP;Autovía A-4;Despeñaperros;247+200;Madrid;Equitel;E301
15;4;PSI-1-14-DP;PSI-1-14-DP - Maestro;PSI-1-14-DP;Autovía A-4;Despeñaperros;247+100;Madrid;Equitel;E301
16;4;PSI-1-15-DP;PSI-1-15-DP - Maestro;PSI-1-15-DP;Autovía A-4;Despeñaperros;246+750;Madrid;Equitel;E301
17;4;PSI-1-16-DP;PSI-1-16-DP - Maestro;PSI-1-16-DP;Autovía A-4;Despeñaperros;246+600;Madrid;Equitel;E301
