item;alias;description;sessionuid;road;stretchs;pk;sentido
1;ILU-NOR-DP2;ILU-NOR-DP2;ILU-NOR-DP2;Autovía A-4;LT2;;NA
2;ILU-SUR-DP2;ILU-SUR-DP2;ILU-SUR-DP2;Autovía A-4;LT2;;NA
3;CGBT-DP2;CGBT-DP2;CGBT-DP2;Autovía A-4;LT2;;NA
4;ILU-NOR-DP3;ILU-NOR-DP3;ILU-NOR-DP3;Autovía A-4;LT3;;NA
5;ILU-SUR-DP3;ILU-SUR-DP3;ILU-SUR-DP3;Autovía A-4;LT3;;NA
6;CGBT-DP3;CGBT-DP3;CGBT-DP3;Autovía A-4;LT3;;NA
7;ILU-NOR-DP4;ILU-NOR-DP4;ILU-NOR-DP4;Autovía A-4;LT4;;NA
8;ILU-SUR-DP4;ILU-SUR-DP4;ILU-SUR-DP4;Autovía A-4;LT4;;NA
9;CGBT-DP4;CGBT-DP4;CGBT-DP4;Autovía A-4;LT4;;NA
10;ILU-SUR-DP1;ILU-SUR-DP1;ILU-SUR-DP1;Autovía A-4;LT1;;NA
11;ILU-NOR-DP1;ILU-NOR-DP1;ILU-NOR-DP1;Autovía A-4;LT1;;NA
12;CGBT-DP1;CGBT-DP1;CGBT-DP1;Autovía A-4;LT1;;NA
13;SAI-NOR-DP1;SAI-NOR-DP1;SAI-NOR-DP1;Autovía A-4;LT1;;NA
14;SAI-SUR-DP1;SAI-SUR-DP1;SAI-SUR-DP1;Autovía A-4;LT1;;NA
15;SAI-NOR-DP2;SAI-NOR-DP2;SAI-NOR-DP2;Autovía A-4;LT2;;NA
16;SAI-SUR-DP2;SAI-SUR-DP2;SAI-SUR-DP2;Autovía A-4;LT2;;NA
17;SAI-NOR-DP3;SAI-NOR-DP3;SAI-NOR-DP3;Autovía A-4;LT3;;NA
18;SAI-SUR-DP3;SAI-SUR-DP3;SAI-SUR-DP3;Autovía A-4;LT3;;NA
19;SAI-NOR-DP4;SAI-NOR-DP4;SAI-NOR-DP4;Autovía A-4;LT4;;NA
20;SAI-SUR-DP4;SAI-SUR-DP4;SAI-SUR-DP4;Autovía A-4;LT4;;NA
