item;alias;description;sessionuid;road;stretchs;pk;sentido;param1_direction;param2_order;param3_mask_validation;param4_delay
1;RV-SEC-1-DET-1CA-IN;RV-SEC-1-DET-1CA-IN;RV-SEC-1-DET-1CA-IN;AP7 - AUSOL I;RV-TUNEL;177+307;CA;true;3;0;0
2;RV-SEC-1-DET-2CA-IN;RV-SEC-1-DET-2CA-IN;RV-SEC-1-DET-2CA-IN;AP7 - AUSOL I;RV-TUNEL;177+307;CA;true;4;0;0
3;RV-SEC-2-DET-3MA-OUT;RV-SEC-2-DET-3MA-OUT;RV-SEC-2-DET-3MA-OUT;AP7 - AUSOL I;RV-TUNEL;177+307;MA;true;1;0;0
4;RV-SEC-2-DET-4MA-OUT;RV-SEC-2-DET-4MA-OUT;RV-SEC-2-DET-4MA-OUT;AP7 - AUSOL I;RV-TUNEL;177+307;MA;true;2;0;0
5;RV-SEC-1-DET-1MA-IN;RV-SEC-1-DET-1MA-IN;RV-SEC-1-DET-1MA-IN;AP7 - AUSOL I;RV-TUNEL;176+995;MA;true;1;0;0
6;RV-SEC-1-DET-2MA-IN;RV-SEC-1-DET-2MA-IN;RV-SEC-1-DET-2MA-IN;AP7 - AUSOL I;RV-TUNEL;176+995;MA;true;2;0;0
7;RV-SEC-2-DET-3CA-OUT;RV-SEC-2-DET-3CA-OUT;RV-SEC-2-DET-3CA-OUT;AP7 - AUSOL I;RV-TUNEL;176+995;CA;true;3;0;0
8;RV-SEC-2-DET-4CA-OUT;RV-SEC-2-DET-4CA-OUT;RV-SEC-2-DET-4CA-OUT;AP7 - AUSOL I;RV-TUNEL;176+995;CA;true;4;0;0
9;MM-SEC-1-DET-1CA-IN;MM-SEC-1-DET-1CA-IN;MM-SEC-1-DET-1CA-IN;AP7 - AUSOL I;MM-TUNEL;166+732;CA;true;3;0;0
10;MM-SEC-1-DET-2CA-IN;MM-SEC-1-DET-2CA-IN;MM-SEC-1-DET-2CA-IN;AP7 - AUSOL I;MM-TUNEL;166+732;CA;true;4;0;0
11;MM-SEC-2-DET-3MA-OUT;MM-SEC-2-DET-3MA-OUT;MM-SEC-2-DET-3MA-OUT;AP7 - AUSOL I;MM-TUNEL;166+732;MA;true;1;0;0
12;MM-SEC-2-DET-4MA-OUT;MM-SEC-2-DET-4MA-OUT;MM-SEC-2-DET-4MA-OUT;AP7 - AUSOL I;MM-TUNEL;166+732;MA;true;2;0;0
13;MM-SEC-1-DET-1MA-IN;MM-SEC-1-DET-1MA-IN;MM-SEC-1-DET-1MA-IN;AP7 - AUSOL I;MM-TUNEL;165+990;MA;true;1;0;0
14;MM-SEC-1-DET-2MA-IN;MM-SEC-1-DET-2MA-IN;MM-SEC-1-DET-2MA-IN;AP7 - AUSOL I;MM-TUNEL;165+990;MA;true;2;0;0
15;MM-SEC-2-DET-3CA-OUT;MM-SEC-2-DET-3CA-OUT;MM-SEC-2-DET-3CA-OUT;AP7 - AUSOL I;MM-TUNEL;165+990;CA;true;3;0;0
16;MM-SEC-2-DET-4CA-OUT;MM-SEC-2-DET-4CA-OUT;MM-SEC-2-DET-4CA-OUT;AP7 - AUSOL I;MM-TUNEL;165+990;CA;true;4;0;0
17;STMI-SEC-1-DET-1CA-IN;STMI-SEC-1-DET-1CA-IN;STMI-SEC-1-DET-1CA-IN;AP7 - AUSOL I;STMI-TUNEL;195+534;CA;true;3;0;0
18;STMI-SEC-1-DET-2CA-IN;STMI-SEC-1-DET-2CA-IN;STMI-SEC-1-DET-2CA-IN;AP7 - AUSOL I;STMI-TUNEL;195+534;CA;true;4;0;0
19;STMI-SEC-2-DET-3MA-OUT;STMI-SEC-2-DET-3MA-OUT;STMI-SEC-2-DET-3MA-OUT;AP7 - AUSOL I;STMI-TUNEL;195+534;MA;true;1;0;0
20;STMI-SEC-2-DET-4MA-OUT;STMI-SEC-2-DET-4MA-OUT;STMI-SEC-2-DET-4MA-OUT;AP7 - AUSOL I;STMI-TUNEL;195+534;MA;true;2;0;0
21;STMI-SEC-1-DET-1MA-IN;STMI-SEC-1-DET-1MA-IN;STMI-SEC-1-DET-1MA-IN;AP7 - AUSOL I;STMI-TUNEL;194+704;MA;true;1;0;0
22;STMI-SEC-1-DET-2MA-IN;STMI-SEC-1-DET-2MA-IN;STMI-SEC-1-DET-2MA-IN;AP7 - AUSOL I;STMI-TUNEL;194+704;MA;true;2;0;0
23;STMI-SEC-2-DET-3CA-OUT;STMI-SEC-2-DET-3CA-OUT;STMI-SEC-2-DET-3CA-OUT;AP7 - AUSOL I;STMI-TUNEL;194+704;CA;true;3;0;0
24;STMI-SEC-2-DET-4CA-OUT;STMI-SEC-2-DET-4CA-OUT;STMI-SEC-2-DET-4CA-OUT;AP7 - AUSOL I;STMI-TUNEL;194+704;CA;true;4;0;0
25;CH-SEC-1-DET-1CA-IN;CH-SEC-1-DET-1CA-IN;CH-SEC-1-DET-1CA-IN;AP7 - AUSOL I;CH-TUNEL;14+395;CA;true;3;0;0
26;CH-SEC-1-DET-2CA-IN;CH-SEC-1-DET-2CA-IN;CH-SEC-1-DET-2CA-IN;AP7 - AUSOL I;CH-TUNEL;14+395;CA;true;4;0;0
