item;alias;description;sessionuid;road;stretchs;pk;sentido;param5_pk_ini;param6_pk_end
1;RV-ZI-1CA;Boca Cadiz - Zona Guarda;RV-ZI-1CA;AP7 - AUSOL I;RV-TUNEL;177+307;CA;177+307;177+297
2;RV-ZI-2CA;Boca Cadiz - Zona Incendios 1;RV-ZI-2CA;AP7 - AUSOL I;RV-TUNEL;177+297;CA;177+297;177+221
3;RV-ZI-3CA;Boca Cadiz - Zona Incendios 2;RV-ZI-3CA;AP7 - AUSOL I;RV-TUNEL;177+221;CA;177+221;177+144
4;RV-ZI-4CA;Boca Cadiz - Zona Incendios 3;RV-ZI-4CA;AP7 - AUSOL I;RV-TUNEL;177+144;CA;177+144;177+068
5;RV-ZI-5CA;Boca Cadiz - Zona Incendios 4;RV-ZI-5CA;AP7 - AUSOL I;RV-TUNEL;177+068;CA;177+068;177+010
6;RV-ZI-1MA;Boca Malaga - Zona Guarda;RV-ZI-1MA;AP7 - AUSOL I;RV-TUNEL;177+310;MA;177+005;177+075
7;RV-ZI-2MA;Boca Malaga - Zona Incendios 1;RV-ZI-2MA;AP7 - AUSOL I;RV-TUNEL;177+005;MA;177+075;177+157
8;RV-ZI-3MA;Boca Malaga -Zona Incendios 2;RV-ZI-3MA;AP7 - AUSOL I;RV-TUNEL;177+075;MA;177+157;177+240
9;RV-ZI-4MA;Boca Malaga - Zona Incendios 3;RV-ZI-4MA;AP7 - AUSOL I;RV-TUNEL;177+157;MA;177+240;177+310
10;RV-ZI-5MA;Boca Malaga - Zona Incendios 4;RV-ZI-5MA;AP7 - AUSOL I;RV-TUNEL;177+240;MA;177+310;177+342
11;MM-ZI-1CA;Boca Cadiz - Zona Guarda;MM-ZI-1CA;AP7 - AUSOL I;MM-TUNEL;166+307;CA;177+307;177+297
12;MM-ZI-2CA;Boca Cadiz - Zona Incendios 1;MM-ZI-2CA;AP7 - AUSOL I;MM-TUNEL;166+297;CA;177+297;177+221
13;MM-ZI-3CA;Boca Cadiz - Zona Incendios 2;MM-ZI-3CA;AP7 - AUSOL I;MM-TUNEL;166+221;CA;177+221;177+144
14;MM-ZI-4CA;Boca Cadiz - Zona Incendios 3;MM-ZI-4CA;AP7 - AUSOL I;MM-TUNEL;166+144;CA;177+144;177+068
15;MM-ZI-5CA;Boca Cadiz - Zona Incendios 4;MM-ZI-5CA;AP7 - AUSOL I;MM-TUNEL;166+068;CA;177+068;177+010
16;MM-ZI-6CA;Boca Cadiz - Zona Incendios 5;MM-ZI-6CA;AP7 - AUSOL I;MM-TUNEL;166+310;CA;177+005;177+075
17;MM-ZI-7CA;Boca Cadiz - Zona Incendios 6;MM-ZI-7CA;AP7 - AUSOL I;MM-TUNEL;166+005;CA;177+075;177+157
18;MM-ZI-8CA;Boca Cadiz - Zona Incendios 7;MM-ZI-8CA;AP7 - AUSOL I;MM-TUNEL;166+075;CA;177+157;177+240
19;MM-ZI-1MA;Boca Malaga - Zona Guarda;MM-ZI-1MA;AP7 - AUSOL I;MM-TUNEL;166+307;MA;177+240;177+310
20;MM-ZI-2MA;Boca Malaga - Zona Incendios 1;MM-ZI-2MA;AP7 - AUSOL I;MM-TUNEL;166+297;MA;177+310;177+342
21;MM-ZI-3MA;Boca Malaga - Zona Incendios 2;MM-ZI-3MA;AP7 - AUSOL I;MM-TUNEL;166+221;MA;177+307;177+297
22;MM-ZI-4MA;Boca Malaga - Zona Incendios 3;MM-ZI-4MA;AP7 - AUSOL I;MM-TUNEL;166+144;MA;177+297;177+221
23;MM-ZI-5MA;Boca Malaga - Zona Incendios 4;MM-ZI-5MA;AP7 - AUSOL I;MM-TUNEL;166+068;MA;177+221;177+144
24;MM-ZI-6MA;Boca Malaga - Zona Incendios 5;MM-ZI-6MA;AP7 - AUSOL I;MM-TUNEL;166+310;MA;177+144;177+068
25;MM-ZI-7MA;Boca Malaga - Zona Incendios 6;MM-ZI-7MA;AP7 - AUSOL I;MM-TUNEL;166+005;MA;177+068;177+010
26;MM-ZI-8MA;Boca Malaga - Zona Incendios 7;MM-ZI-8MA;AP7 - AUSOL I;MM-TUNEL;166+075;MA;177+005;177+075
27;STMI-ZI-1CA;Boca Cadiz - Zona Guarda;STMI-ZI-1CA;AP7 - AUSOL I;STMI-TUNEL;195+549;CA;195+549;195+629
28;STMI-ZI-2CA;Boca Cadiz - Zona Incendios 1;STMI-ZI-2CA;AP7 - AUSOL I;STMI-TUNEL;195+629;CA;195+629;195+689
29;STMI-ZI-3CA;Boca Cadiz - Zona Incendios 2;STMI-ZI-3CA;AP7 - AUSOL I;STMI-TUNEL;195+689;CA;195+689;195+719
30;STMI-ZI-1MA;Boca Malaga - Zona Guarda;STMI-ZI-1MA;AP7 - AUSOL I;STMI-TUNEL;195+719;MA;195+719;195+689
31;STMI-ZI-2MA;Boca Malaga - Zona Incendios 1;STMI-ZI-2MA;AP7 - AUSOL I;STMI-TUNEL;195+689;MA;195+689;195+609
32;STMI-ZI-3MA;Boca Malaga - Zona Incendios 2;STMI-ZI-3MA;AP7 - AUSOL I;STMI-TUNEL;195+609;MA;195+609;195+549
37;CH-ZI-1CA;Boca Cadiz - Zona Incendios 1;CH-ZI-1CA;AP7 - AUSOL I;CH-TUNEL;166+051;CA;166+051;166+108
38;CH-ZI-2CA;Boca Cadiz - Zona Incendios 2;CH-ZI-2CA;AP7 - AUSOL I;CH-TUNEL;166+108;CA;166+108;166+253
39;CH-ZI-3CA;Boca Cadiz - Zona Incendios 3;CH-ZI-3CA;AP7 - AUSOL I;CH-TUNEL;166+253;CA;166+253;166+338
40;CH-ZI-4CA;Boca Cadiz - Zona Incendios 4;CH-ZI-4CA;AP7 - AUSOL I;CH-TUNEL;166+338;CA;166+338;166+413
41;CH-ZI-5CA;Boca Cadiz - Zona Incendios 5;CH-ZI-5CA;AP7 - AUSOL I;CH-TUNEL;166+413;CA;166+413;166+487
42;CH-ZI-6CA;Boca Cadiz - Zona Incendios 6;CH-ZI-6CA;AP7 - AUSOL I;CH-TUNEL;166+487;CA;166+487;166+562
43;CH-ZI-7CA;Boca Cadiz - Zona Incendios 7;CH-ZI-7CA;AP7 - AUSOL I;CH-TUNEL;166+562;CA;166+562;166+637
44;CH-ZI-8CA;Boca Cadiz - Zona Incendios 8;CH-ZI-8CA;AP7 - AUSOL I;CH-TUNEL;166+637;CA;166+637;166+716
45;CH-ZI-1MA;Boca Malaga - Zona Incendios 1;CH-ZI-1MA;AP7 - AUSOL I;CH-TUNEL;165+959;MA;165+959;166+108
46;CH-ZI-2MA;Boca Malaga - Zona Incendios 2;CH-ZI-2MA;AP7 - AUSOL I;CH-TUNEL;166+108;MA;166+108;166+194
47;CH-ZI-3MA;Boca Malaga - Zona Incendios 3;CH-ZI-3MA;AP7 - AUSOL I;CH-TUNEL;166+194;MA;166+194;166+266
48;CH-ZI-4MA;Boca Malaga - Zona Incendios 4;CH-ZI-4MA;AP7 - AUSOL I;CH-TUNEL;166+266;MA;166+266;166+349
