item;alias;description;sessionuid;road;stretchs;pk;sentido;param5_zone_id
1;RV-MEG-1CA;RV-MEG-1CA;RV-MEG-1CA;AP7 - AUSOL I;RV-TUNEL;177+290;CA;19
2;RV-MEG-2CA;RV-MEG-2CA;RV-MEG-2CA;AP7 - AUSOL I;RV-TUNEL;177+100;CA;20
3;RV-MEG-1MA;RV-MEG-1MA;RV-MEG-1MA;AP7 - AUSOL I;RV-TUNEL;177+009;MA;17
4;RV-MEG-2MA;RV-MEG-2MA;RV-MEG-2MA;AP7 - AUSOL I;RV-TUNEL;177+105;MA;18
5;MM-MEG-1MA;MM-MEG-1MA;MM-MEG-1MA;AP7 - AUSOL I;MM-TUNEL;166+011;MA;1
6;MM-MEG-2MA;MM-MEG-2MA;MM-MEG-2MA;AP7 - AUSOL I;MM-TUNEL;166+021;MA;2
7;MM-MEG-3MA;MM-MEG-3MA;MM-MEG-3MA;AP7 - AUSOL I;MM-TUNEL;166+041;MA;3
8;MM-MEG-4MA;MM-MEG-4MA;MM-MEG-4MA;AP7 - AUSOL I;MM-TUNEL;166+061;MA;4
9;MM-MEG-1CA;MM-MEG-1CA;MM-MEG-1CA;AP7 - AUSOL I;MM-TUNEL;166+707;CA;5
10;MM-MEG-2CA;MM-MEG-2CA;MM-MEG-2CA;AP7 - AUSOL I;MM-TUNEL;166+607;CA;6
11;MM-MEG-3CA;MM-MEG-3CA;MM-MEG-3CA;AP7 - AUSOL I;MM-TUNEL;166+407;CA;7
12;MM-MEG-4CA;MM-MEG-4CA;MM-MEG-4CA;AP7 - AUSOL I;MM-TUNEL;166+207;CA;8
13;STMI-MEG-1CA;STMI-MEG-1CA;STMI-MEG-1CA;AP7 - AUSOL I;STMI-TUNEL;195+545;CA;31
14;STMI-MEG-2CA;STMI-MEG-2CA;STMI-MEG-2CA;AP7 - AUSOL I;STMI-TUNEL;195+635;CA;32
15;STMI-MEG-1MA;STMI-MEG-1MA;STMI-MEG-1MA;AP7 - AUSOL I;STMI-TUNEL;195+692;MA;29
16;STMI-MEG-2MA;STMI-MEG-2MA;STMI-MEG-2MA;AP7 - AUSOL I;STMI-TUNEL;195+599;MA;30
17;LQ-MEG-1MA;LQ-MEG-1MA;LQ-MEG-1MA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;15
18;LQ-MEG-2MA;LQ-MEG-2MA;LQ-MEG-2MA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;16
19;LQ-MEG-3MA;LQ-MEG-3MA;LQ-MEG-3MA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;13
20;LQ-MEG-4MA;LQ-MEG-4MA;LQ-MEG-4MA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;14
21;LQ-MEG-1CA;LQ-MEG-1CA;LQ-MEG-1CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;9
22;LQ-MEG-2CA;LQ-MEG-2CA;LQ-MEG-2CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;11
23;LQ-MEG-3CA;LQ-MEG-3CA;LQ-MEG-3CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;12
24;LQ-MEG-4CA;LQ-MEG-4CA;LQ-MEG-4CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;10
25;RV-RADIO;RV-RADIO;RV-RADIO;AP7 - AUSOL I;RV-TUNEL;177+290;CA;73
26;COR-MEG-1MA;COR-MEG-1MA;COR-MEG-1MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA;57
27;COR-MEG-2MA;COR-MEG-2MA;COR-MEG-2MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA;58
28;COR-MEG-3MA;COR-MEG-3MA;COR-MEG-3MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA;55
29;COR-MEG-4MA;COR-MEG-4MA;COR-MEG-4MA;AP7 - AUSOL II;COR-TUNEL;151+305;MA;56
30;COR-MEG-5MA;COR-MEG-5MA;COR-MEG-5MA;AP7 - AUSOL II;COR-TUNEL;151+383;MA;53
31;COR-MEG-1CA;COR-MEG-1CA;COR-MEG-1CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA;54
32;COR-MEG-2CA;COR-MEG-2CA;COR-MEG-2CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA;51
33;COR-MEG-3CA;COR-MEG-3CA;COR-MEG-3CA;AP7 - AUSOL II;COR-TUNEL;151+842;CA;52
34;COR-MEG-4CA;COR-MEG-4CA;COR-MEG-4CA;AP7 - AUSOL II;COR-TUNEL;151+764;CA;49
35;COR-MEG-5CA;COR-MEG-5CA;COR-MEG-5CA;AP7 - AUSOL II;COR-TUNEL;151+686;CA;50
36;COR-RADIO;COR-RADIO;COR-RADIO;AP7 - AUSOL II;COR-TUNEL;151+225;MA;69
37;LQ-RADIO;LQ-RADIO;LQ-RADIO;AP7 - AUSOL I;LQ-TUNEL;177+290;CA;67
38;CH-MEG-1MA;CH-MEG-1MA;CH-MEG-1MA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;39
39;CH-MEG-2MA;CH-MEG-2MA;CH-MEG-2MA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;40
40;CH-MEG-3MA;CH-MEG-3MA;CH-MEG-3MA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;37
41;CH-MEG-4MA;CH-MEG-4MA;CH-MEG-4MA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;38
42;CH-MEG-1CA;CH-MEG-1CA;CH-MEG-1CA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;35
43;CH-MEG-2CA;CH-MEG-2CA;CH-MEG-2CA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;36
44;CH-MEG-3CA;CH-MEG-3CA;CH-MEG-3CA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;33
45;CH-MEG-4CA;CH-MEG-4CA;CH-MEG-4CA;AP7 - AUSOL I;CH-TUNEL;172+626;CA;34
46;CH-RADIO;CH-RADIO;CH-RADIO;AP7 - AUSOL I;CH-TUNEL;172+626;CA;70
47;STM2-MEG-1MA;STM2-MEG-1MA;STM2-MEG-1MA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;41
48;STM2-MEG-2MA;STM2-MEG-2MA;STM2-MEG-2MA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;42
49;STM2-MEG-3MA;STM2-MEG-3MA;STM2-MEG-3MA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;43
50;STM2-MEG-1CA;STM2-MEG-1CA;STM2-MEG-1CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;44
51;STM2-MEG-2CA;STM2-MEG-2CA;STM2-MEG-2CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;45
52;STM2-MEG-3CA;STM2-MEG-3CA;STM2-MEG-3CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;46
53;STM2-RADIO;STM2-RADIO;STM2-RADIO;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;47
54;EST-MEG-1MA;EST-MEG-1MA;EST-MEG-1MA;AP7 - AUSOL II;EST-TUNEL;177+229;CA;59
55;EST-MEG-2MA;EST-MEG-2MA;EST-MEG-2MA;AP7 - AUSOL II;EST-TUNEL;177+229;CA;60
56;EST-MEG-1CA;EST-MEG-1CA;EST-MEG-1CA;AP7 - AUSOL II;EST-TUNEL;177+005;MA;61
57;EST-MEG-2CA;EST-MEG-2CA;EST-MEG-2CA;AP7 - AUSOL II;EST-TUNEL;177+005;MA;62
58;EST-RADIO;EST-RADIO;EST-RADIO;AP7 - AUSOL II;EST-TUNEL;177+005;MA;75
59;NG-MEG-1MA;NG-MEG-1MA;NG-MEG-1MA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;21
60;NG-MEG-2MA;NG-MEG-2MA;NG-MEG-2MA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;22
61;NG-MEG-3MA;NG-MEG-3MA;NG-MEG-3MA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;23
62;NG-MEG-4MA;NG-MEG-4MA;NG-MEG-4MA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;24
63;NG-MEG-1CA;NG-MEG-1CA;NG-MEG-1CA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;25
64;NG-MEG-2CA;NG-MEG-2CA;NG-MEG-2CA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;26
65;NG-MEG-3CA;NG-MEG-3CA;NG-MEG-3CA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;27
66;NG-MEG-4CA;NG-MEG-4CA;NG-MEG-4CA;AP7 - AUSOL I;NG-TUNEL;172+626;CA;28
67;NG-RADIO;NG-RADIO;NG-RADIO;AP7 - AUSOL I;NG-TUNEL;172+626;CA;77
68;MM-RADIO;MM-RADIO;MM-RADIO;AP7 - AUSOL I;MM-TUNEL;166+011;MA;65
69;STMI-RADIO;STMI-RADIO;STMI-RADIO;AP7 - AUSOL I;STMI-TUNEL;195+545;CA;63
70;CAS-MEG-1MA;CAS-MEG-1MA;CAS-MEG-1MA;AP7 - AUSOL II;CAS-TUNEL;195+545;CA;79
71;CAS-MEG-2MA;CAS-MEG-2MA;CAS-MEG-2MA;AP7 - AUSOL II;CAS-TUNEL;195+545;MA;80
72;CAS-MEG-3MA;CAS-MEG-3MA;CAS-MEG-3MA;AP7 - AUSOL II;CAS-TUNEL;195+545;MA;81
73;CAS-MEG-4MA;CAS-MEG-4MA;CAS-MEG-4MA;AP7 - AUSOL II;CAS-TUNEL;195+545;MA;82
74;CAS-MEG-1CA;CAS-MEG-1CA;CAS-MEG-1CA;AP7 - AUSOL II;CAS-TUNEL;195+545;CA;83
75;CAS-MEG-2CA;CAS-MEG-2CA;CAS-MEG-2CA;AP7 - AUSOL II;CAS-TUNEL;195+545;CA;84
76;CAS-MEG-3CA;CAS-MEG-3CA;CAS-MEG-3CA;AP7 - AUSOL II;CAS-TUNEL;195+545;CA;85
77;CAS-MEG-4CA;CAS-MEG-4CA;CAS-MEG-4CA;AP7 - AUSOL II;CAS-TUNEL;195+545;CA;86
78;CAS-RADIO;CAS-RADIO;CAS-RADIO;AP7 - AUSOL II;CAS-TUNEL;195+545;CA;87
