item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-VC-1MA;RV-VC-1MA;RV-VC-1MA;AP7 - AUSOL I;RV-TUNEL;177+009;MA
2;RV-VM-1MA;RV-VM-1MA;RV-VM-1MA;AP7 - AUSOL I;RV-TUNEL;177+009;MA
3;RV-VC-1CA;RV-VC-1CA;RV-VC-1CA;AP7 - AUSOL I;RV-TUNEL;176+950;CA
4;RV-VM-1CA;RV-VM-1CA;RV-VM-1CA;AP7 - AUSOL I;RV-TUNEL;176+950;CA
5;RV-VC-2MA;RV-VC-2MA;RV-VC-2MA;AP7 - AUSOL I;RV-TUNEL;177+297;MA
6;RV-VM-2MA;RV-VM-2MA;RV-VM-2MA;AP7 - AUSOL I;RV-TUNEL;177+297;MA
7;RV-VC-2CA;RV-VC-2CA;RV-VC-2CA;AP7 - AUSOL I;RV-TUNEL;177+310;CA
8;RV-VM-2CA;RV-VM-2CA;RV-VM-2CA;AP7 - AUSOL I;RV-TUNEL;177+310;CA
9;MM-VC-1MA;MM-VC-1MA;MM-VC-1MA;AP7 - AUSOL I;MM-TUNEL;166+115;MA
10;MM-VM-1MA;MM-VM-1MA;MM-VM-1MA;AP7 - AUSOL I;MM-TUNEL;166+115;MA
11;MM-VC-2CA;MM-VC-2CA;MM-VC-2CA;AP7 - AUSOL I;MM-TUNEL;166+400;CA
12;MM-VM-2CA;MM-VM-2CA;MM-VM-2CA;AP7 - AUSOL I;MM-TUNEL;166+400;CA
13;MM-VC-2MA;MM-VC-2MA;MM-VC-2MA;AP7 - AUSOL I;MM-TUNEL;166+400;MA
14;MM-VM-2MA;MM-VM-2MA;MM-VM-2MA;AP7 - AUSOL I;MM-TUNEL;166+400;MA
15;MM-VC-1CA;MM-VC-1CA;MM-VC-1CA;AP7 - AUSOL I;MM-TUNEL;166+115;CA
16;MM-VM-1CA;MM-VM-1CA;MM-VM-1CA;AP7 - AUSOL I;MM-TUNEL;166+115;CA
17;MM-VM-3CA;MM-VM-3CA;MM-VM-3CA;AP7 - AUSOL I;MM-TUNEL;166+200;CA
18;MM-VM-3MA;MM-VM-3MA;MM-VM-3MA;AP7 - AUSOL I;MM-TUNEL;166+200;MA
19;MM-VM-4CA;MM-VM-4CA;MM-VM-4CA;AP7 - AUSOL I;MM-TUNEL;166+200;CA
20;MM-VM-4MA;MM-VM-4MA;MM-VM-4MA;AP7 - AUSOL I;MM-TUNEL;166+200;MA
21;LQ-VM-1MA;LQ-VM-1MA;LQ-VM-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
22;LQ-VM-2MA;LQ-VM-2MA;LQ-VM-2MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
23;LQ-VM-3MA;LQ-VM-3MA;LQ-VM-3MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
26;LQ-VM-5MA;LQ-VM-5MA;LQ-VM-5MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
27;LQ-VC-1MA;LQ-VC-1MA;LQ-VC-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA
30;LQ-VM-1CA;LQ-VM-1CA;LQ-VM-1CA;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
31;LQ-VM-2CA;LQ-VM-2CA;LQ-VM-2CA;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
32;LQ-VM-3CA;LQ-VM-3CA;LQ-VM-3CA;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
33;LQ-VM-4CA;LQ-VM-4CA;LQ-VM-4CA;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
34;LQ-VM-5CA;LQ-VM-5CA;LQ-VM-5CA;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
35;LQ-VM-6CA;LQ-VM-6CA;LQ-VM-6CA;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
36;LQ-VC-1CA;LQ-VC-1CA;LQ-VC-1CA;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
37;RV-VC-DALJ;RV-VC-DALJ;RV-VC-DALJ;AP7 - AUSOL I;RV-TUNEL;177+009;MA
38;CAS-VC-1CA;CAS-VC-1CA;CAS-VC-1CA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
