item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;2;RV-CITS-1;RV-CITS-1;RV-CITS-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;2;RV-CBT;RV-CBT;RV-CBT;AP7 - AUSOL I;RV-TUNEL;177+317;CA
3;2;RV-CGBT-1;RV-CGBT-1;RV-CGBT-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
5;2;RV-CPCI-1;RV-CPCI-1;RV-CPCI-1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
6;2;MM-CITS-1;MM-CITS-1;MM-CITS-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA
7;2;MM-CGBT-1;MM-CGBT-1;MM-CGBT-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA
8;2;MM-CPCI-1;MM-CPCI-1;MM-CPCI-1;AP7 - AUSOL I;MM-TUNEL;177+307;CA
9;2;STMI-CITS-1;STMI-CITS-1;STMI-CITS-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
10;2;STMI-CGBT-1;STMI-CGBT-1;STMI-CGBT-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
11;2;CAS-PCI-BC;CAS-PCI-BC;CAS-PCI-BC;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
12;2;CAS-CGBT-BC;CAS-CGBT-BC;CAS-CGBT-BC;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
13;2;CAS-CITS-BC;CAS-CITS-BC;CAS-CITS-BC;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
14;2;CAS-CGBT-BM;CAS-CGBT-BM;CAS-CGBT-BM;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
15;2;CAS-CITS-BM;CAS-CITS-BM;CAS-CITS-BM;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
16;2;CH-CGBT-1;CH-CGBT-1;CH-CGBT-1;AP7 - AUSOL I;CH-TUNEL;172+626;CA
17;2;CH-CITS-1;CH-CITS-1;CH-CITS-1;AP7 - AUSOL I;CH-TUNEL;172+626;CA
18;2;CH-CPCI-1;CH-CPCI-1;CH-CPCI-1;AP7 - AUSOL I;CH-TUNEL;172+626;CA
19;2;COR-PCI-BC;COR-PCI-BC;COR-PCI-BC;AP7 - AUSOL I;COR-TUNEL;199+793;CA
20;2;COR-CGBT-BC;COR-CGBT-BC;COR-CGBT-BC;AP7 - AUSOL I;COR-TUNEL;199+793;CA
21;2;COR-CITS-BC;COR-CITS-BC;COR-CITS-BC;AP7 - AUSOL I;COR-TUNEL;199+793;CA
22;2;COR-CITS-BM;COR-CITS-BM;COR-CITS-BM;AP7 - AUSOL I;COR-TUNEL;199+793;CA
23;2;COR-CGBT-BM;COR-CGBT-BM;COR-CGBT-BM;AP7 - AUSOL I;COR-TUNEL;199+793;CA
24;2;LQ-CGBT-1;LQ-CGBT-1;LQ-CGBT-1;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
25;2;LQ-CITS-1;LQ-CITS-1;LQ-CITS-1;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
26;2;LQ-PCI-1;LQ-PCI-1;LQ-PCI-1;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
27;2;EST-CITS-1;EST-CITS-1;EST-CITS-1;AP7 - AUSOL II;EST-TUNEL;177+229;CA
28;2;EST-CGBT-1;EST-CGBT-1;EST-CGBT-1;AP7 - AUSOL II;EST-TUNEL;177+229;CA
29;2;STM2-CITS-BC;STM2-CITS-BC;STM2-CITS-BC;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
30;2;STM2-CGBT-BC;STM2-CGBT-BC;STM2-CGBT-BC;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
31;2;NG-CITS-BM;NG-CITS-BM;NG-CITS-BM;AP7 - AUSOL I;NG-TUNEL;177+307;CA
32;2;NG-CPCI-BM;NG-CPCI-BM;NG-CPCI-BM;AP7 - AUSOL I;NG-TUNEL;177+307;CA
33;2;NG-CGBT-BM;NG-CGBT-BM;NG-CGBT-BM;AP7 - AUSOL I;NG-TUNEL;177+307;CA
34;2;NG-CITS-BC;NG-CITS-BC;NG-CITS-BC;AP7 - AUSOL I;NG-TUNEL;177+307;CA
35;2;MM-CBT;MM-CBT;MM-CBT;AP7 - AUSOL I;MM-TUNEL;177+307;CA
36;2;STMI-CBT;STMI-CBT;STMI-CBT;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
37;2;CAS-CBT;CAS-CBT;CAS-CBT;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
38;2;CH-CBT;CH-CBT;CH-CBT;AP7 - AUSOL I;CH-TUNEL;172+626;CA
39;2;COR-CBT;COR-CBT;COR-CBT;AP7 - AUSOL I;COR-TUNEL;199+793;CA
40;2;LQ-CBT;LQ-CBT;LQ-CBT;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
41;2;EST-CBT;EST-CBT;EST-CBT;AP7 - AUSOL II;EST-TUNEL;177+229;CA
42;2;STM2-CBT;STM2-CBT;STM2-CBT;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
43;2;NG-CBT;NG-CBT;NG-CBT;AP7 - AUSOL I;NG-TUNEL;177+307;CA
