item;element_subtype;alias;description;sessionuid;road;stretchs;pk;param1_direction;param2_order;param3_mask_validation;param4_delay
1;2;ETD1-DET01;ETD1-DET01;ETD1-DET01;N-121A;N-121A C;25+900;true;1;0;0
2;2;ETD1-DET02;ETD1-DET02;ETD1-DET02;N-121A;N-121A C;25+900;true;2;0;0
3;2;ETD1-DET03;ETD1-DET03;ETD1-DET03;N-121A;N-121A C;25+900;true;3;0;0
4;2;ETD1-DET04;ETD1-DET04;ETD1-DET04;N-121A;N-121A C;25+900;true;4;0;0
5;2;ETD2-DET01;ETD2-DET01;ETD2-DET01;N-121A;N-121A C;32+560;true;1;0;0
6;2;ETD2-DET02;ETD2-DET02;ETD2-DET02;N-121A;N-121A C;32+560;true;2;0;0
7;2;ETD2-DET03;ETD2-DET03;ETD2-DET03;N-121A;N-121A C;32+560;true;3;0;0
8;2;ETD2-DET04;ETD2-DET04;ETD2-DET04;N-121A;N-121A C;32+560;true;4;0;0
9;2;ETD3-DET01;ETD3-DET01;ETD3-DET01;N-121A;N-121A C;41+789;true;1;0;0
10;2;ETD3-DET02;ETD3-DET02;ETD3-DET02;N-121A;N-121A C;41+789;true;2;0;0
11;2;ETD3-DET03;ETD3-DET03;ETD3-DET03;N-121A;N-121A C;41+789;true;3;0;0
12;2;ETD3-DET04;ETD3-DET04;ETD3-DET04;N-121A;N-121A C;41+789;true;4;0;0
13;2;ETD4-DET01;ETD4-DET01;ETD4-DET01;N-121A;N-121A C;50+500;true;1;0;0
14;2;ETD4-DET02;ETD4-DET02;ETD4-DET02;N-121A;N-121A C;50+500;true;2;0;0
15;2;ETD4-DET03;ETD4-DET03;ETD4-DET03;N-121A;N-121A C;50+500;true;3;0;0
16;2;ETD4-DET04;ETD4-DET04;ETD4-DET04;N-121A;N-121A C;50+500;true;4;0;0
17;2;ETD5-DET01;ETD5-DET01;ETD5-DET01;N-121A;N-121A C;60+230;true;1;0;0
18;2;ETD5-DET02;ETD5-DET02;ETD5-DET02;N-121A;N-121A C;60+230;true;2;0;0
19;2;ETD5-DET03;ETD5-DET03;ETD5-DET03;N-121A;N-121A C;60+230;true;3;0;0
20;2;ETD5-DET04;ETD5-DET04;ETD5-DET04;N-121A;N-121A C;60+230;true;4;0;0
