item;element_subtype;alias;description;sessionuid;road;stretchs;pk;param1_direction;param2_virtual;param10_pk
1;2;ETD1-CRE;ETD1-CRE;ETD1-CRE;N-121A;N-121A C;25+000;true;false;25.0
2;2;ETD1-DEC;ETD1-DEC;ETD1-DEC;N-121A;N-121A C;25+000;true;false;25.0
3;2;ETD2-CRE;ETD2-CRE;ETD2-CRE;N-121A;N-121A C;30+000;true;false;30.0
4;2;ETD2-DEC;ETD2-DEC;ETD2-DEC;N-121A;N-121A C;30+000;true;false;30.0
5;2;ETD3-CRE;ETD3-CRE;ETD3-CRE;N-121A;N-121A C;40+000;true;false;40.0
6;2;ETD3-DEC;ETD3-DEC;ETD3-DEC;N-121A;N-121A C;40+000;true;false;40.0
7;2;ETD4-CRE;ETD4-CRE;ETD4-CRE;N-121A;N-121A C;50+000;true;false;50.0
8;2;ETD4-DEC;ETD4-DEC;ETD4-DEC;N-121A;N-121A C;50+000;true;false;50.0
9;2;ETD5-CRE;ETD5-CRE;ETD5-CRE;N-121A;N-121A C;61+000;true;false;61.0
10;2;ETD5-DEC;ETD5-DEC;ETD5-DEC;N-121A;N-121A C;61+000;true;false;61.0
