location_id;alias
1; pk 3+333
2; pk 2+295
3; pk 2+520
4; pk 2+595
5; pk 62+400
6; pk 62+395
7; pk 127+670
8; pk 91+358
9; pk 32+560
10; pk 401+560
11; pk 25+900
12; pk 60+230
13; pk 25+900
14; pk 25+900
15; pk 25+900
16; pk 25+900
17; pk 32+560
18; pk 32+560
19; pk 32+560
20; pk 32+560
21; pk 41+789
22; pk 41+789
23; pk 41+789
24; pk 41+789
25; pk 50+500
26; pk 50+500
27; pk 50+500
28; pk 50+500
29; pk 60+230
30; pk 60+230
31; pk 60+230
32; pk 60+230
33; pk 25+000
34; pk 25+000
35; pk 30+000
36; pk 30+000
37; pk 40+000
38; pk 40+000
39; pk 50+000
40; pk 50+000
41; pk 61+000
42; pk 61+000
43; pk 
44; pk 
45; pk 
46; pk 25+900
47; pk 32+560
48; pk 41+789
49; pk 50+500
50; pk 60+230
51; pk 5+400
52; pk 91+358
53; pk 127+670
54; pk 32+560
