item;element_subtype;alias;description;sessionuid;road;stretchs;pk;dm;param1_direction;param2_order;param3_mask_validation;param4_delay;sentido
1;1;NO-S1S1-DET-1OP;NO-S1S1-DET-1OP;NO-S1S1-DET-1OP;Nogales;S1S1;37+050;3+7;OP;1;0;3;OP
2;1;NO-S1S1-DET-2OP;NO-S1S1-DET-2OP;NO-S1S1-DET-2OP;Nogales;S1S1;37+050;3+7;OP;2;0;3;OP
3;1;NO-S1S1-DET-1PO;NO-S1S1-DET-1PO;NO-S1S1-DET-1PO;Nogales;S1S1;37+050;3+7;PO;3;0;3;PO
4;1;NO-S1S1-DET-2PO;NO-S1S1-DET-2PO;NO-S1S1-DET-2PO;Nogales;S1S1;37+050;3+7;PO;4;0;3;PO
5;1;NO-S1S2-DET-1OP;NO-S1S2-DET-1OP;NO-S1S2-DET-1OP;Nogales;S1S2;37+050;7;OP;1;0;3;OP
6;1;NO-S1S2-DET-2OP;NO-S1S2-DET-2OP;NO-S1S2-DET-2OP;Nogales;S1S2;37+050;7;OP;2;0;3;OP
7;1;NO-S1S2-DET-1PO;NO-S1S2-DET-1PO;NO-S1S2-DET-1PO;Nogales;S1S2;37+050;7;PO;3;0;3;PO
8;1;NO-S1S2-DET-2PO;NO-S1S2-DET-2PO;NO-S1S2-DET-2PO;Nogales;S1S2;37+050;7;PO;4;0;3;PO
9;1;NO-S1S3-DET-1OP;NO-S1S3-DET-1OP;NO-S1S3-DET-1OP;Nogales;S1S3;37+050;23;OP;1;0;3;OP
10;1;NO-S1S3-DET-2OP;NO-S1S3-DET-2OP;NO-S1S3-DET-2OP;Nogales;S1S3;37+050;23;OP;2;0;3;OP
11;1;NO-S1S3-DET-1PO;NO-S1S3-DET-1PO;NO-S1S3-DET-1PO;Nogales;S1S3;37+050;23;PO;3;0;3;PO
12;1;NO-S1S3-DET-2PO;NO-S1S3-DET-2PO;NO-S1S3-DET-2PO;Nogales;S1S3;37+050;23;PO;4;0;3;PO
13;1;NO-S2-DET-1OP;NO-S2-DET-1OP;NO-S2-DET-1OP;Nogales;S2;37+050;28+8;OP;1;0;3;OP
14;1;NO-S2-DET-2OP;NO-S2-DET-2OP;NO-S2-DET-2OP;Nogales;S2;37+050;28+8;OP;2;0;3;OP
15;1;NO-S2-DET-1PO;NO-S2-DET-1PO;NO-S2-DET-1PO;Nogales;S2;37+050;28+8;PO;3;0;3;PO
16;1;NO-S2-DET-2PO;NO-S2-DET-2PO;NO-S2-DET-2PO;Nogales;S2;37+050;28+8;PO;4;0;3;PO
