item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model
1;4;SOS-1;PSE-1-01-DP - Esclavo;PSE-1-01-DP;Autovía;MEXICO;;N/A;Equitel;E301
2;4;SOS-2;PSI-1-01-DP - Maestro;PSI-1-01-DP;Autovía;MEXICO;;N/A;Equitel;E301
3;4;SOS-3;PSI-1-02-DP - Esclavo;PSI-1-02-DP;Autovía;MEXICO;;N/A;Equitel;E301
4;4;SOS-4;PSI-1-03-DP - Maestro;PSI-1-03-DP;Autovía;MEXICO;;N/A;Equitel;E301
5;4;SOS-5;PSI-1-04-DP - Maestro;PSI-1-04-DP;Autovía;MEXICO;;N/A;Equitel;E301
6;4;SOS-6;PSI-1-05-DP - Maestro;PSI-1-05-DP;Autovía;MEXICO;;N/A;Equitel;E301
7;4;SOS-7;PSI-1-06-DP - Maestro;PSI-1-06-DP;Autovía;MEXICO;;N/A;Equitel;E301
8;4;SOS-8;PSI-1-07-DP - Maestro;PSI-1-07-DP;Autovía;MEXICO;;N/A;Equitel;E301
9;4;SOS-9;PSI-1-08-DP - Maestro;PSI-1-08-DP;Autovía;MEXICO;;N/A;Equitel;E301
10;4;SOS-10;PSI-1-09-DP - Esclavo;PSI-1-09-DP;Autovía;MEXICO;;N/A;Equitel;E301
