item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;1;TUN-SOS-1CA;TUN-SOS-1CA;TUN-SOS-1CA;Carrtera Tunel;Carretera;173+441;CA
2;1;TUN-SOS-2CA;TUN-SOS-2CA;TUN-SOS-2CA;Carrtera Tunel;Carretera;173+242;CA
3;1;TUN-SOS-3CA;TUN-SOS-3CA;TUN-SOS-3CA;Carrtera Tunel;Carretera;173+072;CA
4;1;TUN-SOS-4CA;TUN-SOS-4CA;TUN-SOS-4CA;Carrtera Tunel;Carretera;172+903;CA
5;1;TUN-SOS-5CA;TUN-SOS-5CA;TUN-SOS-5CA;Carrtera Tunel;Carretera;172+731;CA
6;1;TUN-SOSE-1CA;TUN-SOSE-1CA;TUN-SOSE-1CA;Carrtera Tunel;Carretera;173+601;CA
7;1;TUN-SOSE-2CA;TUN-SOSE-2CA;TUN-SOSE-2CA;Carrtera Tunel;Carretera;172+606;CA
8;1;TUN-SOS-1MA;TUN-SOS-1MA;TUN-SOS-1MA;Carrtera Tunel;Carretera;172+731;MA
9;1;TUN-SOS-2MA;TUN-SOS-2MA;TUN-SOS-2MA;Carrtera Tunel;Carretera;172+881;MA
10;1;TUN-SOS-3MA;TUN-SOS-3MA;TUN-SOS-3MA;Carrtera Tunel;Carretera;173+032;MA
11;1;TUN-SOS-4MA;TUN-SOS-4MA;TUN-SOS-4MA;Carrtera Tunel;Carretera;173+348;MA
12;1;TUN-SOSE-1MA;TUN-SOSE-1MA;TUN-SOSE-1MA;Carrtera Tunel;Carretera;172+617;MA
13;1;TUN-SOSE-2MA;TUN-SOSE-2MA;TUN-SOSE-2MA;Carrtera Tunel;Carretera;173+608;MA
