item;alias;description;sessionuid;road;stretchs;pk;sentido
1;LQ-MAG-CSA-SAI;LQ-MAG-CSA-SAI;LQ-MAG-CSA-SAI;Carretera Tunel;Carretera;172+100;CA
2;LQ-INT-CSA-SAI;LQ-INT-CSA-SAI;LQ-INT-CSA-SAI;Carretera Tunel;Carretera;172+100;CA
3;LQ-MAGDIF-AA1-SC;LQ-MAGDIF-AA1-SC;LQ-MAGDIF-AA1-SC;Carretera Tunel;Carretera;172+100;CA
4;LQ-MAGDIF-AA15-SC;LQ-MAGDIF-AA15-SC;LQ-MAGDIF-AA15-SC;Carretera Tunel;Carretera;172+100;CA
5;LQ-MAGDIF-AA2-SC;LQ-MAGDIF-AA2-SC;LQ-MAGDIF-AA2-SC;Carretera Tunel;Carretera;172+100;CA
6;LQ-MAGDIF-AA16-SC;LQ-MAGDIF-AA16-SC;LQ-MAGDIF-AA16-SC;Carretera Tunel;Carretera;172+100;CA
7;LQ-MAGDIF-AA11-SM;LQ-MAGDIF-AA11-SM;LQ-MAGDIF-AA11-SM;Carretera Tunel;Carretera;172+100;CA
8;LQ-MAGDIF-AA21-SM;LQ-MAGDIF-AA21-SM;LQ-MAGDIF-AA21-SM;Carretera Tunel;Carretera;172+100;CA
9;LQ-MAGDIF-AA10-SM;LQ-MAGDIF-AA10-SM;LQ-MAGDIF-AA10-SM;Carretera Tunel;Carretera;172+100;CA
10;LQ-MAGDIF-AA20-SM;LQ-MAGDIF-AA20-SM;LQ-MAGDIF-AA20-SM;Carretera Tunel;Carretera;172+100;CA
11;LQ-MAGDIF-AE14-SM;LQ-MAGDIF-AE14-SM;LQ-MAGDIF-AE14-SM;Carretera Tunel;Carretera;172+100;CA
12;LQ-MAGDIF-AE9-SC;LQ-MAGDIF-AE9-SC;LQ-MAGDIF-AE9-SC;Carretera Tunel;Carretera;172+100;CA
13;LQ-MAGDIF-A29-SC;LQ-MAGDIF-A29-SC;LQ-MAGDIF-A29-SC;Carretera Tunel;Carretera;172+100;CA
14;LQ-MAGDIF-A30-SC;LQ-MAGDIF-A30-SC;LQ-MAGDIF-A30-SC;Carretera Tunel;Carretera;172+100;CA
15;LQ-MAGDIF-A31-SM;LQ-MAGDIF-A31-SM;LQ-MAGDIF-A31-SM;Carretera Tunel;Carretera;172+100;CA
16;LQ-MAGDIF-A32-SM;LQ-MAGDIF-A32-SM;LQ-MAGDIF-A32-SM;Carretera Tunel;Carretera;172+100;CA
17;LQ-MAG-CSA-RED;LQ-MAG-CSA-RED;LQ-MAG-CSA-RED;Carretera Tunel;Carretera;172+100;CA
18;LQ-INT-CSA-RED;LQ-INT-CSA-RED;LQ-INT-CSA-RED;Carretera Tunel;Carretera;172+100;CA
19;LQ-MAGDIF-A3-SC;LQ-MAGDIF-A3-SC;LQ-MAGDIF-A3-SC;Carretera Tunel;Carretera;172+100;CA
20;LQ-MAGDIF-A5-SC;LQ-MAGDIF-A5-SC;LQ-MAGDIF-A5-SC;Carretera Tunel;Carretera;172+100;CA
21;LQ-MAGDIF-A4-SC;LQ-MAGDIF-A4-SC;LQ-MAGDIF-A4-SC;Carretera Tunel;Carretera;172+100;CA
22;LQ-MAGDIF-A6-SC;LQ-MAGDIF-A6-SC;LQ-MAGDIF-A6-SC;Carretera Tunel;Carretera;172+100;CA
23;LQ-MAGDIF-A13-SM;LQ-MAGDIF-A13-SM;LQ-MAGDIF-A13-SM;Carretera Tunel;Carretera;172+100;CA
24;LQ-MAGDIF-A23-SM;LQ-MAGDIF-A23-SM;LQ-MAGDIF-A23-SM;Carretera Tunel;Carretera;172+100;CA
25;LQ-MAGDIF-A12-SM;LQ-MAGDIF-A12-SM;LQ-MAGDIF-A12-SM;Carretera Tunel;Carretera;172+100;CA
26;LQ-MAGDIF-A22-SM;LQ-MAGDIF-A22-SM;LQ-MAGDIF-A22-SM;Carretera Tunel;Carretera;172+100;CA
27;LQ-MAGDIF-A33-SM;LQ-MAGDIF-A33-SM;LQ-MAGDIF-A33-SM;Carretera Tunel;Carretera;172+100;CA
28;LQ-MAGDIF-A34-SM;LQ-MAGDIF-A34-SM;LQ-MAGDIF-A34-SM;Carretera Tunel;Carretera;172+100;CA
29;LQ-MAGDIF-A35-SM;LQ-MAGDIF-A35-SM;LQ-MAGDIF-A35-SM;Carretera Tunel;Carretera;172+100;CA
30;LQ-MAGDIF-A36-SM;LQ-MAGDIF-A36-SM;LQ-MAGDIF-A36-SM;Carretera Tunel;Carretera;172+100;CA
31;LQ-MAG-CGBT;LQ-MAG-CGBT;LQ-MAG-CGBT;Carretera Tunel;Carretera;172+100;CA
32;LQ-INT-CGBT-CSA-RED;LQ-INT-CGBT-CSA-RED;LQ-INT-CGBT-CSA-RED;Carretera Tunel;Carretera;172+100;CA
33;LQ-MAG-CGBT-SERV-AUX-GE;LQ-MAG-CGBT-SERV-AUX-GE;LQ-MAG-CGBT-SERV-AUX-GE;Carretera Tunel;Carretera;172+100;CA
34;LQ-INT-CGBT-COM-RED;LQ-INT-CGBT-COM-RED;LQ-INT-CGBT-COM-RED;Carretera Tunel;Carretera;172+100;CA
35;LQ-INT-CGBT-COM-GRUPO;LQ-INT-CGBT-COM-GRUPO;LQ-INT-CGBT-COM-GRUPO;Carretera Tunel;Carretera;172+100;CA
36;LQ-INT-CGBT-BAT-COND;LQ-INT-CGBT-BAT-COND;LQ-INT-CGBT-BAT-COND;Carretera Tunel;Carretera;172+100;CA
37;LQ-INT-CGBT-CSV-TSM;LQ-INT-CGBT-CSV-TSM;LQ-INT-CGBT-CSV-TSM;Carretera Tunel;Carretera;172+100;CA
38;LQ-MAG-GEN-CSSAI;LQ-MAG-GEN-CSSAI;LQ-MAG-GEN-CSSAI;Carretera Tunel;Carretera;172+100;CA
39;LQ-INT-CS-EDIF-PCI;LQ-INT-CS-EDIF-PCI;LQ-INT-CS-EDIF-PCI;Carretera Tunel;Carretera;172+100;CA
40;LQ-INT-CGBT-CSV-TSC;LQ-INT-CGBT-CSV-TSC;LQ-INT-CGBT-CSV-TSC;Carretera Tunel;Carretera;172+100;CA
41;LQ-MAG-CGBT-CSEDBT;LQ-MAG-CGBT-CSEDBT;LQ-MAG-CGBT-CSEDBT;Carretera Tunel;Carretera;172+100;CA
42;LQ-VENT-INT-VF1-CA;LQ-VENT-INT-VF1-CA;LQ-VENT-INT-VF1-CA;Carretera Tunel;Carretera;172+100;CA
43;LQ-VENT-INT-VF2-CA;LQ-VENT-INT-VF2-CA;LQ-VENT-INT-VF2-CA;Carretera Tunel;Carretera;172+100;CA
44;LQ-VENT-INT-VF3-CA;LQ-VENT-INT-VF3-CA;LQ-VENT-INT-VF3-CA;Carretera Tunel;Carretera;172+100;CA
45;LQ-VENT-INT-VF4-CA;LQ-VENT-INT-VF4-CA;LQ-VENT-INT-VF4-CA;Carretera Tunel;Carretera;172+100;CA
46;LQ-VENT-INT-VF5-CA;LQ-VENT-INT-VF5-CA;LQ-VENT-INT-VF5-CA;Carretera Tunel;Carretera;172+100;CA
47;LQ-VENT-INT-VF6-CA;LQ-VENT-INT-VF6-CA;LQ-VENT-INT-VF6-CA;Carretera Tunel;Carretera;172+100;CA
48;LQ-VENT-INT-VF7-CA;LQ-VENT-INT-VF7-CA;LQ-VENT-INT-VF7-CA;Carretera Tunel;Carretera;172+100;CA
49;LQ-VENT-INT-VF8-CA;LQ-VENT-INT-VF8-CA;LQ-VENT-INT-VF8-CA;Carretera Tunel;Carretera;172+100;CA
50;LQ-VENT-INT-VF9-CA;LQ-VENT-INT-VF9-CA;LQ-VENT-INT-VF9-CA;Carretera Tunel;Carretera;172+100;CA
51;LQ-VENT-INT-VF10-CA;LQ-VENT-INT-VF10-CA;LQ-VENT-INT-VF10-CA;Carretera Tunel;Carretera;172+100;CA
52;LQ-VENT-INT-VF11-CA;LQ-VENT-INT-VF11-CA;LQ-VENT-INT-VF11-CA;Carretera Tunel;Carretera;172+100;CA
53;LQ-VENT-INT-VF12-CA;LQ-VENT-INT-VF12-CA;LQ-VENT-INT-VF12-CA;Carretera Tunel;Carretera;172+100;CA
54;LQ-VENT-INT-VF13-CA;LQ-VENT-INT-VF13-CA;LQ-VENT-INT-VF13-CA;Carretera Tunel;Carretera;172+100;CA
55;LQ-VENT-INT-VF14-CA;LQ-VENT-INT-VF14-CA;LQ-VENT-INT-VF14-CA;Carretera Tunel;Carretera;172+100;CA
56;LQ-VENT-INT-VF15-CA;LQ-VENT-INT-VF15-CA;LQ-VENT-INT-VF15-CA;Carretera Tunel;Carretera;172+100;CA
57;LQ-VENT-INT-VF16-CA;LQ-VENT-INT-VF16-CA;LQ-VENT-INT-VF16-CA;Carretera Tunel;Carretera;172+100;CA
58;LQ-MAG-CSV-2;LQ-MAG-CSV-2;LQ-MAG-CSV-2;Carretera Tunel;Carretera;172+100;CA
59;LQ-INT-CSV-2;LQ-INT-CSV-2;LQ-INT-CSV-2;Carretera Tunel;Carretera;172+100;CA
60;LQ-MAGDIF-RCAL-CV2;LQ-MAGDIF-RCAL-CV2;LQ-MAGDIF-RCA-CV2;Carretera Tunel;Carretera;172+100;CA
61;LQ-VENT-INT-VF1-MA;LQ-VENT-INT-VF1-MA;LQ-VENT-INT-VF1-MA;Carretera Tunel;Carretera;172+100;CA
62;LQ-VENT-INT-VF3-MA;LQ-VENT-INT-VF3-MA;LQ-VENT-INT-VF3-MA;Carretera Tunel;Carretera;172+100;CA
63;LQ-VENT-INT-VF4-MA;LQ-VENT-INT-VF4-MA;LQ-VENT-INT-VF4-MA;Carretera Tunel;Carretera;172+100;CA
64;LQ-VENT-INT-VF5-MA;LQ-VENT-INT-VF5-MA;LQ-VENT-INT-VF5-MA;Carretera Tunel;Carretera;172+100;CA
65;LQ-VENT-INT-VF6-MA;LQ-VENT-INT-VF6-MA;LQ-VENT-INT-VF6-MA;Carretera Tunel;Carretera;172+100;CA
66;LQ-VENT-INT-VF7-MA;LQ-VENT-INT-VF7-MA;LQ-VENT-INT-VF7-MA;Carretera Tunel;Carretera;172+100;CA
67;LQ-VENT-INT-VF8-MA;LQ-VENT-INT-VF8-MA;LQ-VENT-INT-VF8-MA;Carretera Tunel;Carretera;172+100;CA
68;LQ-VENT-INT-VF9-MA;LQ-VENT-INT-VF9-MA;LQ-VENT-INT-VF9-MA;Carretera Tunel;Carretera;172+100;CA
69;LQ-VENT-INT-VF10-MA;LQ-VENT-INT-VF10-MA;LQ-VENT-INT-VF10-MA;Carretera Tunel;Carretera;172+100;CA
70;LQ-MAG-CSV-1;LQ-MAG-CSV-1;LQ-MAG-CSV-1;Carretera Tunel;Carretera;172+100;CA
71;LQ-INT-CSV-1;LQ-INT-CSV-1;LQ-INT-CSV-1;Carretera Tunel;Carretera;172+100;CA
72;LQ-MAGDIF-RCAL-CV1;LQ-MAGDIF-RCAL-CV1;LQ-MAGDIF-RCAL-CV1;Carretera Tunel;Carretera;172+100;CA
73;LQ-MAG-CSEDBT;LQ-MAG-CSEDBT;LQ-MAG-CSEDBT;Carretera Tunel;Carretera;172+100;CA
74;LQ-MAG-A1-CGBT;LQ-MAG-A1-CGBT;LQ-MAG-A1-CGBT;Carretera Tunel;Carretera;172+100;CA
75;LQ-MAG-E1-CGBT;LQ-MAG-E1-CGBT;LQ-MAG-E1-CGBT;Carretera Tunel;Carretera;172+100;CA
76;LQ-MAG-F1-CGBT;LQ-MAG-F1-CGBT;LQ-MAG-F1-CGBT;Carretera Tunel;Carretera;172+100;CA
