item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;param5_circuit_type
1;TUN-CONT-AA1-SC;Cont. 16 A,IV;TUN-CONT-AA1-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
2;TUN-CONT-AA15-SC;Cont. 16 A,IV;TUN-CONT-AA15-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
3;TUN-CONT-AA2-SC;Cont. 16 A,IV;TUN-CONT-AA2-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
4;TUN-CONT-AA16-SC;Cont. 16 A,IV;TUN-CONT-AA16-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
5;TUN-CONT-AA11-SM;Cont. 16 A,IV;TUN-CONT-AA11-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
6;TUN-CONT-AA21-SM;Cont. 16 A,IV;TUN-CONT-AA21-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
7;TUN-CONT-AA10-SM;Cont. 16 A,IV;TUN-CONT-AA10-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
8;TUN-CONT-AA20-SM;Cont. 16 A,IV;TUN-CONT-AA20-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Permanente
9;TUN-CONT-AE14-SM;Cont. 16 A,IV;TUN-CONT-AE14-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Guiado
10;TUN-CONT-AE9-SC;Cont. 16 A,IV;TUN-CONT-AE9-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Guiado
11;TUN-CONT-A29-SC;Cont. 16 A,IV;TUN-CONT-A29-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Aproximación
12;TUN-CONT-A30-SC;Cont. 16 A,IV;TUN-CONT-A30-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Aproximación
13;TUN-CONT-A31-SM;Cont. 16 A,IV;TUN-CONT-A31-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Aproximación
14;TUN-CONT-A32-SM;Cont. 16 A,IV;TUN-CONT-A32-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Aproximación
15;TUN-CONT-A3-SC;Cont. 16 A,IV;TUN-CONT-A3-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
16;TUN-CONT-A5-SC;Cont. 16 A,IV;TUN-CONT-A5-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
17;TUN-CONT-A4-SC;Cont. 16 A,IV;TUN-CONT-A4-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
18;TUN-CONT-A6-SC;Cont. 16 A,IV;TUN-CONT-A6-SC;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
19;TUN-CONT-A13-SM;Cont. 16 A,IV;TUN-CONT-A13-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
20;TUN-CONT-A23-SM;Cont. 16 A,IV;TUN-CONT-A23-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
21;TUN-CONT-A12-SM;Cont. 16 A,IV;TUN-CONT-A12-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
22;TUN-CONT-A22-SM;Cont. 16 A,IV;TUN-CONT-A22-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
23;TUN-CONT-A33-SM;Cont. 16 A,IV;TUN-CONT-A33-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
24;TUN-CONT-A34-SM;Cont. 16 A,IV;TUN-CONT-A34-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
25;TUN-CONT-A35-SM;Cont. 16 A,IV;TUN-CONT-A35-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
26;TUN-CONT-A36-SM;Cont. 16 A,IV;TUN-CONT-A36-SM;Carreterta Tunel;Carretera;172+100;CA;SendStateToIllumination.groovy;Refuerzo
27;TUN-CONT-BF15;Cont. 16 A.;TUN-CONT-BF15;Carreterta Tunel;Carretera;166+727;CA;;
28;TUN-CONT-BF16;Cont. 16 A.;TUN-CONT-BF16;Carreterta Tunel;Carretera;166+727;CA;;
29;HOSP-ILUM-L1-P1;HOSP-ILUM-L1-P1;HOSP-ILUM-L1-P1;Nicklaus Childrens Hospital;Hosp P1;;;;
30;HOSP-ILUM-L1-P2;HOSP-ILUM-L1-P2;HOSP-ILUM-L1-P2;Nicklaus Childrens Hospital;Hosp P1;;;;
31;HOSP-ILUM-L1-P3;HOSP-ILUM-L1-P3;HOSP-ILUM-L1-P3;Nicklaus Childrens Hospital;Hosp P1;;;;
32;HOSP-ILUM-L1-P4;HOSP-ILUM-L1-P4;HOSP-ILUM-L1-P4;Nicklaus Childrens Hospital;Hosp P1;;;;
33;HOSP-ILUM-L1-P5;HOSP-ILUM-L1-P5;HOSP-ILUM-L1-P5;Nicklaus Childrens Hospital;Hosp P1;;;;
34;HOSP-ILUM-L1-P6;HOSP-ILUM-L1-P6;HOSP-ILUM-L1-P6;Nicklaus Childrens Hospital;Hosp P1;;;;
35;HOSP-ILUM-L1-P7;HOSP-ILUM-L1-P7;HOSP-ILUM-L1-P7;Nicklaus Childrens Hospital;Hosp P1;;;;
36;HOSP-ILUM-L1-P8;HOSP-ILUM-L1-P8;HOSP-ILUM-L1-P8;Nicklaus Childrens Hospital;Hosp P1;;;;
37;HOSP-ILUM-L1-P9;HOSP-ILUM-L1-P9;HOSP-ILUM-L1-P9;Nicklaus Childrens Hospital;Hosp P1;;;;
38;HOSP-ILUM-L2-P1;HOSP-ILUM-L2-P1;HOSP-ILUM-L2-P1;Nicklaus Childrens Hospital;Hosp P2;;;;
39;HOSP-ILUM-L2-P2;HOSP-ILUM-L2-P2;HOSP-ILUM-L2-P2;Nicklaus Childrens Hospital;Hosp P2;;;;
40;HOSP-ILUM-L2-P3;HOSP-ILUM-L2-P3;HOSP-ILUM-L2-P3;Nicklaus Childrens Hospital;Hosp P2;;;;
41;HOSP-ILUM-L2-P4;HOSP-ILUM-L2-P4;HOSP-ILUM-L2-P4;Nicklaus Childrens Hospital;Hosp P2;;;;
42;HOSP-ILUM-L2-P5;HOSP-ILUM-L2-P5;HOSP-ILUM-L2-P5;Nicklaus Childrens Hospital;Hosp P2;;;;
43;HOSP-ILUM-L2-P6;HOSP-ILUM-L2-P6;HOSP-ILUM-L2-P6;Nicklaus Childrens Hospital;Hosp P2;;;;
44;HOSP-ILUM-L2-P7;HOSP-ILUM-L2-P7;HOSP-ILUM-L2-P7;Nicklaus Childrens Hospital;Hosp P2;;;;
45;HOSP-ILUM-L3-P1;HOSP-ILUM-L3-P1;HOSP-ILUM-L3-P1;Nicklaus Childrens Hospital;Hosp P3;;;;
