item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_alarm;on_change_state;on_change_measure;param6_flip
1;1;TUN-VENT-VF1-CA;TUN-VENT-VF1-CA;TUN-VENT-VF1-CA;Carretera Tunel;Tunel Norte;173+397;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
2;1;TUN-VENT-VF2-CA;TUN-VENT-VF2-CA;TUN-VENT-VF2-CA;Carretera Tunel;Tunel Norte;173+397;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
3;1;TUN-VENT-VF3-CA;TUN-VENT-VF3-CA;TUN-VENT-VF3-CA;Carretera Tunel;Tunel Norte;173+307;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
4;1;TUN-VENT-VF4-CA;TUN-VENT-VF4-CA;TUN-VENT-VF4-CA;Carretera Tunel;Tunel Norte;173+307;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
5;1;TUN-VENT-VF5-CA;TUN-VENT-VF5-CA;TUN-VENT-VF5-CA;Carretera Tunel;Tunel Norte;173+217;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
6;1;TUN-VENT-VF6-CA;TUN-VENT-VF6-CA;TUN-VENT-VF6-CA;Carretera Tunel;Tunel Norte;173+217;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
7;1;TUN-VENT-VF7-CA;TUN-VENT-VF7-CA;TUN-VENT-VF7-CA;Carretera Tunel;Tunel Norte;173+127;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
8;1;TUN-VENT-VF8-CA;TUN-VENT-VF8-CA;TUN-VENT-VF8-CA;Carretera Tunel;Tunel Norte;173+127;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
9;1;TUN-VENT-VF9-CA;TUN-VENT-VF9-CA;TUN-VENT-VF9-CA;Carretera Tunel;Tunel Norte;173+037;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
10;1;TUN-VENT-VF10-CA;TUN-VENT-VF10-CA;TUN-VENT-VF10-CA;Carretera Tunel;Tunel Norte;173+037;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
11;1;TUN-VENT-VF11-CA;TUN-VENT-VF11-CA;TUN-VENT-VF11-CA;Carretera Tunel;Tunel Norte;172+947;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
12;1;TUN-VENT-VF12-CA;TUN-VENT-VF12-CA;TUN-VENT-VF12-CA;Carretera Tunel;Tunel Norte;172+947;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
13;1;TUN-VENT-VF13-CA;TUN-VENT-VF13-CA;TUN-VENT-VF13-CA;Carretera Tunel;Tunel Norte;172+857;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
14;1;TUN-VENT-VF14-CA;TUN-VENT-VF14-CA;TUN-VENT-VF14-CA;Carretera Tunel;Tunel Norte;172+857;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
15;1;TUN-VENT-VF15-CA;TUN-VENT-VF15-CA;TUN-VENT-VF15-CA;Carretera Tunel;Tunel Norte;172+767;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
16;1;TUN-VENT-VF16-CA;TUN-VENT-VF16-CA;TUN-VENT-VF16-CA;Carretera Tunel;Tunel Norte;172+767;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;true
17;1;TUN-VENT-VF1-MA;TUN-VENT-VF1-MA;TUN-VENT-VF1-MA;Carretera Tunel;Tunel Sur;172+727;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
18;1;TUN-VENT-VF2-MA;TUN-VENT-VF2-MA;TUN-VENT-VF2-MA;Carretera Tunel;Tunel Sur;172+727;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
19;1;TUN-VENT-VF3-MA;TUN-VENT-VF3-MA;TUN-VENT-VF3-MA;Carretera Tunel;Tunel Sur;172+807;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
20;1;TUN-VENT-VF4-MA;TUN-VENT-VF4-MA;TUN-VENT-VF4-MA;Carretera Tunel;Tunel Sur;172+807;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
21;1;TUN-VENT-VF5-MA;TUN-VENT-VF5-MA;TUN-VENT-VF5-MA;Carretera Tunel;Tunel Sur;172+887;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
22;1;TUN-VENT-VF6-MA;TUN-VENT-VF6-MA;TUN-VENT-VF6-MA;Carretera Tunel;Tunel Sur;172+887;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
23;1;TUN-VENT-VF7-MA;TUN-VENT-VF7-MA;TUN-VENT-VF7-MA;Carretera Tunel;Tunel Sur;172+967;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
24;1;TUN-VENT-VF8-MA;TUN-VENT-VF8-MA;TUN-VENT-VF8-MA;Carretera Tunel;Tunel Sur;172+967;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
25;1;TUN-VENT-VF9-MA;TUN-VENT-VF9-MA;TUN-VENT-VF9-MA;Carretera Tunel;Tunel Sur;173+047;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
26;1;TUN-VENT-VF10-MA;TUN-VENT-VF10-MA;TUN-VENT-VF10-MA;Carretera Tunel;Tunel Sur;173+047;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy;
