item;alias;description;sessionuid;road;stretchs;pk;sentido
1;TUN-SWS-1CA;TUN-SWS-1CA;TUN-SWS-1CA;Carretera Tunel;Carretera;173+626;CA
2;TUN-SWS-2CA;TUN-SWS-2CA;TUN-SWS-2CA;Carretera Tunel;Carretera;173+626;CA
3;TUN-SWS-3CA;TUN-SWS-3CA;TUN-SWS-3CA;Carretera Tunel;Carretera;172+435;CA
4;TUN-SWS-4CA;TUN-SWS-4CA;TUN-SWS-4CA;Carretera Tunel;Carretera;172+435;CA
5;TUN-SWS-5CA;TUN-SWS-5CA;TUN-SWS-5CA;Carretera Tunel;Carretera;172+434;CA
6;TUN-SWS-1MA;TUN-SWS-1MA;TUN-SWS-1MA;Carretera Tunel;Carretera;166+880;MA
7;TUN-SWS-2MA;TUN-SWS-2MA;TUN-SWS-2MA;Carretera Tunel;Carretera;172+655;MA
8;TUN-SWS-3MA;TUN-SWS-3MA;TUN-SWS-3MA;Carretera Tunel;Carretera;172+655;MA
9;TUN-SWS-4MA;TUN-SWS-4MA;TUN-SWS-4MA;Carretera Tunel;Carretera;172+734;MA
10;TUN-SWG-CA;TUN-SWG-CA;TUN-SWG-CA;Carretera Tunel;Carretera;173+626;CA
11;TUN-SWE-CA;TUN-SWE-CA;TUN-SWE-CA;Carretera Tunel;Carretera;173+626;CA
12;TUN-SWL;TUN-SWL;TUN-SWL;Carretera Tunel;Carretera;173+626;CA
13;TUN-SWE-MA;TUN-SWE-MA;TUN-SWE-MA;Carretera Tunel;Carretera;166+880;MA
