item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model;param4_config_json;param9_travel_time_configurable;on_change_measure
1;19;TUN-PMV-4CA;TUN-PMV-4CA;TUN-PMV-4CA;Carretera Tunel;Tunel Norte;172+655;CA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;ChangeMeasureHistorical.groovy
2;19;TUN-PMV-3MA;TUN-PMV-3MA;TUN-PMV-3MA;Carretera Tunel;Tunel Sur;173+437;MA;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;ChangeMeasureHistorical.groovy
3;19;MAP-NTCIP-1;MAP-NTCIP-1;MAP-NTCIP-1;Carretera Mapa;Mapa;120+400;N;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
4;19;MAP-NTCIP-2;MAP-NTCIP-2;MAP-NTCIP-2;Carretera Mapa;Mapa;120+600;N;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
5;19;MAP-NTCIP-3;MAP-NTCIP-3;MAP-NTCIP-3;Carretera Mapa;Mapa;120+800;N;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
6;19;MAP-NTCIP-4;MAP-NTCIP-4;MAP-NTCIP-4;Carretera Mapa;Mapa;121+000;N;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
7;19;MAP-NTCIP-5;MAP-NTCIP-5;MAP-NTCIP-5;Carretera Mapa;Mapa;121+200;N;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
8;19;MAP-NTCIP-6;MAP-NTCIP-6;MAP-NTCIP-6;Carretera Mapa;Mapa;121+400;N;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
9;19;MAP-NTCIP-7;MAP-NTCIP-7;MAP-NTCIP-7;Carretera Mapa;Mapa;119+200;S;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
10;19;MAP-NTCIP-8;MAP-NTCIP-8;MAP-NTCIP-8;Carretera Mapa;Mapa;119+000;S;Fixalia;NTCIP;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":19},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";true;ChangeMeasureHistorical.groovy
