item;alias;description;sessionuid;road;stretchs;pk;dm;secc;param1_brand;param2_model;param3_entrance_tunnel_distance
1;RM-CAB-001;RM-CAB-001;RM-CAB-001;RUTA-LA-MINA;S1S1;0+002;Asc;S1S1;Siemens;;
2;RM-CAB-002;RM-CAB-002;RM-CAB-002;RUTA-LA-MINA;S1S1;2+290;Asc;S1S1;Siemens;;
3;RM-CAB-003;RM-CAB-003;RM-CAB-003;RUTA-LA-MINA;S1S1;2+425;Asc;S1S1;Siemens;;
4;RM-CAB-004;RM-CAB-004;RM-CAB-004;RUTA-LA-MINA;S1S1;3+540;Asc;S1S1;Siemens;;
5;RM-CAB-005;RM-CAB-005;RM-CAB-005;RUTA-LA-MINA;S1S1;3+304;Asc;S1S1;Siemens;;
6;RM-CAB-006;RM-CAB-006;RM-CAB-006;RUTA-LA-MINA;S1S1;6+505;Asc;S1S1;Siemens;;
7;RM-CAB-007;RM-CAB-007;RM-CAB-007;RUTA-LA-MINA;S1S1;9+605;Asc;S1S1;Siemens;;
8;RM-CAB-008;RM-CAB-008;RM-CAB-008;RUTA-LA-MINA;S1S1;17+700;Asc;S1S1;Siemens;;
9;RM-CAB-009;RM-CAB-009;RM-CAB-009;RUTA-LA-MINA;S1S1;19+502;Asc;S1S1;Siemens;;
10;RM-CAB-010;RM-CAB-010;RM-CAB-010;RUTA-LA-MINA;S1S1;24+697;Asc;S1S1;Siemens;;
11;RM-CAB-011;RM-CAB-011;RM-CAB-011;RUTA-LA-MINA;S1S1;39+405;Asc;S1S1;Siemens;;
12;RM-CAB-012;RM-CAB-012;RM-CAB-012;RUTA-LA-MINA;S1S1;44+500;Asc;S1S1;Siemens;;
13;RM-CAB-016;RM-CAB-016;RM-CAB-016;RUTA-LA-MINA;S1S1;70+005;Asc;S1S1;Siemens;;
14;RM-CAB-017;RM-CAB-017;RM-CAB-017;RUTA-LA-MINA;S1S1;74+305;Asc;S1S1;Siemens;;
15;RM-CAB-018;RM-CAB-018;RM-CAB-018;RUTA-LA-MINA;S1S1;79+705;Asc;S1S1;Siemens;;
16;RM-CAB-019;RM-CAB-019;RM-CAB-019;RUTA-LA-MINA;S1S1;85+005;Asc;S1S1;Siemens;;
17;RM-CAB-020;RM-CAB-020;RM-CAB-020;RUTA-LA-MINA;S1S1;91+007;Asc;S1S1;Siemens;;
18;RM-CAB-021;RM-CAB-021;RM-CAB-021;RUTA-LA-MINA;S1S1;102+365;Asc;S1S1;Siemens;;
19;RM-CAB-022;RM-CAB-022;RM-CAB-022;RUTA-LA-MINA;S1S1;103+705;Asc;S1S1;Siemens;;
20;RM-CAB-025;RM-CAB-025;RM-CAB-025;RUTA-LA-MINA;S1S1;107+005;Asc;S1S1;Siemens;;
21;RM-CAB-026;RM-CAB-026;RM-CAB-026;RUTA-LA-MINA;S1S1;114+105;Asc;S1S1;Siemens;;
22;RM-CAB-027;RM-CAB-027;RM-CAB-027;RUTA-LA-MINA;S1S1;116+005;Asc;S1S1;Siemens;;
23;RM-CAB-028;RM-CAB-028;RM-CAB-028;RUTA-LA-MINA;S1S1;118+505;Asc;S1S1;Siemens;;
24;RM-CAB-029;RM-CAB-029;RM-CAB-029;RUTA-LA-MINA;S1S1;119+205;Asc;S1S1;Siemens;;
25;RM-CAB-030;RM-CAB-030;RM-CAB-030;RUTA-LA-MINA;S1S1;123+105;Asc;S1S1;Siemens;;
26;RM-CAB-031;RM-CAB-031;RM-CAB-031;RUTA-LA-MINA;S1S1;123+405;Asc;S1S1;Siemens;;
27;RM-CAB-032;RM-CAB-032;RM-CAB-032;RUTA-LA-MINA;S1S1;125+905;Asc;S1S1;Siemens;;
28;RM-CAB-033;RM-CAB-033;RM-CAB-033;RUTA-LA-MINA;S1S1;126+805;Asc;S1S1;Siemens;;
29;RM-CAB-036;RM-CAB-036;RM-CAB-036;RUTA-LA-MINA;S1S1;135+505;Asc;S1S1;Siemens;;
30;RM-CAB-037;RM-CAB-037;RM-CAB-037;RUTA-LA-MINA;S1S1;137+003;Asc;S1S1;Siemens;;
31;RM-CAB-038;RM-CAB-038;RM-CAB-038;RUTA-LA-MINA;S1S1;137+240;Des;S1S1;Siemens;;
32;RM-CAB-039;RM-CAB-039;RM-CAB-039;RUTA-LA-MINA;S1S1;137+445;Asc;S1S1;Siemens;;
33;RM-SOL-11A;RM-SOL-11A;RM-SOL-11A;RUTA-LA-MINA;S1S1;62+409;Asc;S1S1;Siemens;;
34;RM-SOL-11B;RM-SOL-11B;RM-SOL-11B;RUTA-LA-MINA;S1S1;62+409;Asc;S1S1;Siemens;;
35;RM-SOL-19A;RM-SOL-19A;RM-SOL-19A;RUTA-LA-MINA;S1S1;106+070;Asc;S1S1;Siemens;;
36;RM-SOL-19B;RM-SOL-19B;RM-SOL-19B;RUTA-LA-MINA;S1S1;106+070;Asc;S1S1;Siemens;;
37;RM-SOL-29A;RM-SOL-29A;RM-SOL-29A;RUTA-LA-MINA;S1S1;130+050;Des;S1S1;Siemens;;
38;RM-CAB-013;RM-CAB-013;RM-CAB-013;RUTA-LA-MINA;S1S1;62+400;Asc;S1S1;Siemens;;
39;RM-CAB-014;RM-CAB-014;RM-CAB-014;RUTA-LA-MINA;S1S1;62+550;Asc;S1S1;Siemens;;
40;RM-CAB-015;RM-CAB-015;RM-CAB-015;RUTA-LA-MINA;S1S1;62+650;Asc;S1S1;Siemens;;
41;RM-CAB-023;RM-CAB-023;RM-CAB-023;RUTA-LA-MINA;S1S1;106+100;Asc;S1S1;Siemens;;
42;RM-CAB-024;RM-CAB-024;RM-CAB-024;RUTA-LA-MINA;S1S1;106+240;Asc;S1S1;Siemens;;
43;RM-CAB-034;RM-CAB-034;RM-CAB-034;RUTA-LA-MINA;S1S1;130+020;Des;S1S1;Siemens;;
44;RM-CAB-035;RM-CAB-035;RM-CAB-035;RUTA-LA-MINA;S1S1;130+160;Des;S1S1;Siemens;;
45;TOTEM-001;TOTEM-001;TOTEM-001;RUTA-LA-MINA;S1S1;62+400;Asc;S1S1;Siemens;;
46;TOTEM-002;TOTEM-002;TOTEM-002;RUTA-LA-MINA;S1S1;62+550;Des;S1S1;Siemens;;
47;TOTEM-003;TOTEM-003;TOTEM-003;RUTA-LA-MINA;S1S1;106+100;Asc;S1S1;Siemens;;
48;TOTEM-004;TOTEM-004;TOTEM-004;RUTA-LA-MINA;S1S1;130+160;Des;S1S1;Siemens;;
