location_id;alias
1; pk 0-002
2; pk 2+430
3; pk 2+430
4; pk 3+539
5; pk 4+299
6; pk 6+501
7; pk 9+600
8; pk 17+695
9; pk 19+499
10; pk 24+695
11; pk 39+400
12; pk 44+495
13; pk 62+405
14; pk 62+415
15; pk 70+000
16; pk 74+301
17; pk 79+701
18; pk 85+000
19; pk 91+052
20; pk 102+305
21; pk 103+700
22; pk 106+060
23; pk 106+070
24; pk 114+100
25; pk 116+000
26; pk 118+500
27; pk 119+200
28; pk 123+400
29; pk 125+900
30; pk 130+020
31; pk 130+135
32; pk 135+500
33; pk 136+000
34; pk 137+235
35; pk 137+440
36; pk 2+293
37; pk 2+460
38; pk 2+495
39; pk 0
40; pk 0
41; pk 2+580
42; pk 0
43; pk 2+295
44; pk 2+520
45; pk 2+595
46; pk 62+400
47; pk 62+395
48; pk 62+560
49; pk 62+505
50; pk 62+670
51; pk 90+980
52; pk 91+000
53; pk 102+375
54; pk 102+400
55; pk 106+082
56; pk 106+075
57; pk 106+240
58; pk 106+230
59; pk 130+035
60; pk 130+140
61; pk 137+260
62; pk 137+280
63; pk 137+440
64; pk 137+462
65; pk 44+492
66; pk 44+492
67; pk 102+360
68; pk 102+360
69; pk 123+100
70; pk 126+800
71; pk 0+002
72; pk 2+290
73; pk 2+425
74; pk 3+540
75; pk 3+304
76; pk 6+505
77; pk 9+605
78; pk 17+700
79; pk 19+502
80; pk 24+697
81; pk 39+405
82; pk 44+500
83; pk 70+005
84; pk 74+305
85; pk 79+705
86; pk 85+005
87; pk 91+007
88; pk 102+365
89; pk 103+705
90; pk 107+005
91; pk 114+105
92; pk 116+005
93; pk 118+505
94; pk 119+205
95; pk 123+105
96; pk 123+405
97; pk 125+905
98; pk 126+805
99; pk 135+505
100; pk 137+003
101; pk 137+240
102; pk 137+445
103; pk 62+409
104; pk 62+409
105; pk 106+070
106; pk 106+070
107; pk 130+050
108; pk 62+400
109; pk 62+550
110; pk 62+650
111; pk 106+100
112; pk 106+240
113; pk 130+020
114; pk 130+160
115; pk 62+400
116; pk 62+550
117; pk 106+100
118; pk 130+160
119; pk 3+530
120; pk 107+010
121; pk 135+995
