type;subtype;icon;js
1;;01_weather_station.svg;
2;;02_camera.svg;
2;;02_camera_domo.svg;
3;;03_detector.svg;
4;;04_section.svg;section.js
7;;07_zone.svg;
8;;08_barrier.svg;barrier.js
9;3;09_axialfan.svg;axialfan.js
9;2;09_jetfan.svg;jetfan.js
10;;10_tarificador.svg;
11;;11_sos.svg;
12;;12_lux.svg;lux.js
13;;13_sem_3_grupos.svg;trafficLightPLC.js
14;;14_lum.svg;lum.js
15;;15_flame.svg;
16;;16_pa_zone.svg;pa.js
17;;17_galibo.svg;
18;;18_anemometro.svg;inAnemometer_avo.js
19;;19_co.svg;co.js
2000;;2000_tube_ilumination.svg;ilum.js
2001;;2000_tube_ilumination.svg;ilum.js
2002;;2000_tube_ilumination.svg;ilum.js
2003;;2000_tube_ilumination.svg;ilum.js
20;;20_no.svg;no.js
21;;21_opac.svg;op.js
22;;22_valvula_mariposa.svg;valve.js
24;1;24_bei.svg;
24;2;24_bei_intermedia.svg;
25;;25_electrical_cabinet.svg;
27;;27_plc.svg;
29;;29_fibrolaser_ct.svg;
30;;30_radio.svg;
32;;32_presurizacion.svg;
33;;33_trafo.svg;
35;;35_sentinas.svg;
52;;52_dai_server.svg;
53;;53_sem_2_grupos.svg;redTrafficLight.js
55;;55_ct.svg;
56;;56_unifilar.svg;
57;;57_switch.svg;switch_inv.js
58;;58_pulsador.svg;
59;;59_smoke_detector.svg;
60;;60_sirena.svg;
61;;61_fire_det_ct.svg;
65;;65_sai.svg;
70;;70_analizador_red.svg;
71;12;71_vms_clv_af.svg;vms.js
71;19;71_vms_dgt_gr_txt.svg;vms.js
71;16;71_vms_dgt_txt_1line.svg;vms.js
71;21;71_vms_nzta_txt_type_b.svg;vms.js
75;;75_ge.svg;
84;;84_switch_light_bulb.svg;switch_ligth_bulb_circuit.js
86;;86_diesel_pump.svg;pump.js
87;;87_tank.svg;tank.js
88;;88_leak_water_sensor.svg;
89;;89_gate.svg;
92;;92_electrical_protection.svg;
95;;95_sync_server.svg;
