device_name;session_uid;det_name;det_order;host;port(i);url_publisher;port_sim_publisher;ip
_RNRJS19P;_RNRJS19P;DET01-ADPJS21L;1;192.168.88.189;10000;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9020;192.168.88.189
_RNRJS19P;_RNRJS19P;DET02-ADPJS21L;2;192.168.88.189;10000;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9020;192.168.88.189
_SCJS04P;_SCJS04P;DET05-ADPJS23L;5;192.168.88.189;10001;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9021;192.168.88.189
_SCJS04P;_SCJS04P;DET06-ADPJS23L;6;192.168.88.189;10001;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9021;192.168.88.189
_SCJS04P;_SCJS04P;DET01-ADPJS21P;1;192.168.88.189;10001;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9021;192.168.88.189
_SCJS04P;_SCJS04P;DET02-ADPJS21P;2;192.168.88.189;10001;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9021;192.168.88.189
_SCJS04P;_SCJS04P;DET03-ADPJS21P;3;192.168.88.189;10001;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9021;192.168.88.189
_SCJS04P;_SCJS04P;DET04-ADPJS21P;4;192.168.88.189;10001;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9021;192.168.88.189
_RNRJS22P;_RNRJS22P;DET01-ADPJS24P;1;192.168.88.189;10002;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9022;192.168.88.189
_RNRJS22P;_RNRJS22P;DET02-ADPJS24P;2;192.168.88.189;10002;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9022;192.168.88.189
_RNRJS23P;_RNRJS23P;DET01-ADPJS25L;1;192.168.88.189;10003;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9023;192.168.88.189
_RNRJS23P;_RNRJS23P;DET02-ADPJS25L;2;192.168.88.189;10003;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9023;192.168.88.189
_RNRJS23P;_RNRJS23P;DET03-ADPJS25L;3;192.168.88.189;10003;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9023;192.168.88.189
_RNRJS24P;_RNRJS24P;DET01-ADPJS26P;1;192.168.88.189;10004;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9024;192.168.88.189
_RNRJS24P;_RNRJS24P;DET02-ADPJS26P;2;192.168.88.189;10004;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9024;192.168.88.189
_RNRJS25P;_RNRJS25P;DET01-ADPJS27L;1;192.168.88.189;10005;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9025;192.168.88.189
_RNRJS25P;_RNRJS25P;DET02-ADPJS27L;2;192.168.88.189;10005;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9025;192.168.88.189
_RNRJS26P;_RNRJS26P;DET01-ADPJS28P;1;192.168.88.189;10006;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9026;192.168.88.189
_RNRJS26P;_RNRJS26P;DET02-ADPJS28P;2;192.168.88.189;10006;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9026;192.168.88.189
_RNRJS27L;_RNRJS27L;DET01-ADPJS29L;1;192.168.88.189;10007;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9027;192.168.88.189
_RNRJS27L;_RNRJS27L;DET02-ADPJS29L;2;192.168.88.189;10007;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9027;192.168.88.189
_RNRJS28P;_RNRJS28P;DET05-ADPJS31L;5;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS28P;_RNRJS28P;DET06-ADPJS31L;6;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS28P;_RNRJS28P;DET07-ADPJS31L;7;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS28P;_RNRJS28P;DET08-ADPJS31L;8;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS28P;_RNRJS28P;DET01-ADPJS30P;1;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS28P;_RNRJS28P;DET02-ADPJS30P;2;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS28P;_RNRJS28P;DET03-ADPJS30P;3;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS28P;_RNRJS28P;DET04-ADPJS30P;4;192.168.88.189;10008;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9028;192.168.88.189
_RNRJS29P;_RNRJS29P;DET05-ADPJS32L;5;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS29P;_RNRJS29P;DET06-ADPJS32L;6;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS29P;_RNRJS29P;DET07-ADPJS34L;7;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS29P;_RNRJS29P;DET08-ADPJS34L;8;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS29P;_RNRJS29P;DET01-ADPJS33P;1;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS29P;_RNRJS29P;DET02-ADPJS33P;2;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS29P;_RNRJS29P;DET03-ADPJS33P;3;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS29P;_RNRJS29P;DET04-ADPJS33P;4;192.168.88.189;10009;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9029;192.168.88.189
_RNRJS30P;_RNRJS30P;DET01-ADPJS35P;1;192.168.88.189;10010;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9030;192.168.88.189
_RNRJS30P;_RNRJS30P;DET02-ADPJS35P;2;192.168.88.189;10010;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9030;192.168.88.189
_RNRJS31P;_RNRJS31P;DET01-ADPJS36L;1;192.168.88.189;10011;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9031;192.168.88.189
_RNRJS31P;_RNRJS31P;DET02-ADPJS36L;2;192.168.88.189;10011;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9031;192.168.88.189
_RNRJS32P;_RNRJS32P;DET01-ADPJS37P;1;192.168.88.189;10012;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9032;192.168.88.189
_RNRJS32P;_RNRJS32P;DET02-ADPJS37P;2;192.168.88.189;10012;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9032;192.168.88.189
_RNRJS33P;_RNRJS33P;DET01-ADPJS38L;1;192.168.88.189;10013;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9033;192.168.88.189
_RNRJS33P;_RNRJS33P;DET02-ADPJS38L;2;192.168.88.189;10013;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9033;192.168.88.189
_RNRJS34P;_RNRJS34P;DET05-ADPJS39L;5;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS34P;_RNRJS34P;DET06-ADPJS39L;6;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS34P;_RNRJS34P;DET07-ADPJS39L;7;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS34P;_RNRJS34P;DET08-ADPJS39L;8;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS34P;_RNRJS34P;DET01-ADPJS40P;1;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS34P;_RNRJS34P;DET02-ADPJS40P;2;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS34P;_RNRJS34P;DET03-ADPJS40P;3;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS34P;_RNRJS34P;DET04-ADPJS40P;4;192.168.88.189;10014;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9034;192.168.88.189
_RNRJS35P;_RNRJS35P;DET05-ADPJS42L;5;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS35P;_RNRJS35P;DET06-ADPJS42L;6;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS35P;_RNRJS35P;DET07-ADPJS42L;7;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS35P;_RNRJS35P;DET08-ADPJS42L;8;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS35P;_RNRJS35P;DET01-ADPJS39P;1;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS35P;_RNRJS35P;DET02-ADPJS39P;2;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS35P;_RNRJS35P;DET03-ADPJS39P;3;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS35P;_RNRJS35P;DET04-ADPJS39P;4;192.168.88.189;10015;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9035;192.168.88.189
_RNRJS36P;_RNRJS36P;DET01-ADPJS43P;1;192.168.88.189;10016;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9036;192.168.88.189
_RNRJS36P;_RNRJS36P;DET02-ADPJS43P;2;192.168.88.189;10016;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9036;192.168.88.189
_RNRJS37P;_RNRJS37P;DET01-ADPJS44L;1;192.168.88.189;10017;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9037;192.168.88.189
_RNRJS37P;_RNRJS37P;DET02-ADPJS44L;2;192.168.88.189;10017;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9037;192.168.88.189
_RNRJS38P;_RNRJS38P;DET01-ADPJS45P;1;192.168.88.189;10018;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9038;192.168.88.189
_RNRJS38P;_RNRJS38P;DET02-ADPJS45P;2;192.168.88.189;10018;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9038;192.168.88.189
_RNRJS39P;_RNRJS39P;DET01-ADPJS46L;1;192.168.88.189;10019;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9039;192.168.88.189
_RNRJS39P;_RNRJS39P;DET02-ADPJS46L;2;192.168.88.189;10019;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9039;192.168.88.189
_RNRJS40P;_RNRJS40P;DET01-ADPJS47P;1;192.168.88.189;10020;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9040;192.168.88.189
_RNRJS40P;_RNRJS40P;DET02-ADPJS47P;2;192.168.88.189;10020;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9040;192.168.88.189
_RNRJS41P;_RNRJS41P;DET01-ADPJS48L;1;192.168.88.189;10021;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9041;192.168.88.189
_RNRJS41P;_RNRJS41P;DET02-ADPJS48L;2;192.168.88.189;10021;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9041;192.168.88.189
_RNRJS42P;_RNRJS42P;DET01-ADPJS49P;1;192.168.88.189;10022;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9042;192.168.88.189
_RNRJS42P;_RNRJS42P;DET02-ADPJS49P;2;192.168.88.189;10022;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9042;192.168.88.189
_RNRJS43P;_RNRJS43P;DET01-ADPJS50P;1;192.168.88.189;10023;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9043;192.168.88.189
_RNRJS43P;_RNRJS43P;DET02-ADPJS50P;2;192.168.88.189;10023;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9043;192.168.88.189
_RNRJS44P;_RNRJS44P;DET01-ADPJS51L;1;192.168.88.189;10024;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9044;192.168.88.189
_RNRJS44P;_RNRJS44P;DET02-ADPJS51L;2;192.168.88.189;10024;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9044;192.168.88.189
_RNRJS44P;_RNRJS44P;DET03-ADPJS51L;3;192.168.88.189;10024;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9044;192.168.88.189
_RNRJS45P;_RNRJS45P;DET01-ADPJS52P;1;192.168.88.189;10025;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9045;192.168.88.189
_RNRJS45P;_RNRJS45P;DET02-ADPJS52P;2;192.168.88.189;10025;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9045;192.168.88.189
_RNRJS46P;_RNRJS46P;DET05-ADPJS54L;5;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET06-ADPJS54L;6;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET07-ADPJS54L;7;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET08-ADPJS54L;8;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET01-ADPJS53P;1;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET02-ADPJS53P;2;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
_RNRJS46P;_RNRJS46P;DET03-ADPJS53P;3;192.168.88.189;10026;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9046;192.168.88.189
