item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model;param3_stream_mjpeg;param7_PTZ;param9_hostname;param10_user;param11_password;param12_PTZ
1;1;DESP-DOMO-1-SEV;DESP-DOMO-1SEV;DESP-DOMO-1SEV;Despeñaperros;DESPEÑAPERROS;;SEV;;-;-;-;;;;;
2;1;DESP-DOMO-1-MAD;DESP-DOMO-1MAD;DESP-DOMO-1MAD;Despeñaperros;DESPEÑAPERROS;;SEV;;-;-;-;;;;;
3;2;DESP-TV-1-SEV;DESP-TV-1-SEV;DESP-TV-1-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
4;2;DESP-TV-2-SEV;DESP-TV-2-SEV;DESP-TV-2-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
5;2;DESP-TV-3-SEV;DESP-TV-3-SEV;DESP-TV-3-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
6;2;DESP-TV-4-SEV;DESP-TV-4-SEV;DESP-TV-4-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
7;2;DESP-TV-5-SEV;DESP-TV-5-SEV;DESP-TV-5-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
8;2;DESP-TV-6-SEV;DESP-TV-6-SEV;DESP-TV-6-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
9;2;DESP-TV-7-SEV;DESP-TV-7-SEV;DESP-TV-7-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
10;2;DESP-TV-8-SEV;DESP-TV-8-SEV;DESP-TV-8-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
11;2;DESP-TV-9-SEV;DESP-TV-9-SEV;DESP-TV-9-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
12;2;DESP-TV-10-SEV;DESP-TV-10-SEV;DESP-TV-10-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
13;2;DESP-TV-11-SEV;DESP-TV-11-SEV;DESP-TV-11-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
14;2;DESP-TV-12-SEV;DESP-TV-12-SEV;DESP-TV-12-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
15;2;DESP-TV-13-SEV;DESP-TV-13-SEV;DESP-TV-13-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
16;2;DESP-TV-14-SEV;DESP-TV-14-SEV;DESP-TV-14-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
17;2;DESP-TV-15-SEV;DESP-TV-15-SEV;DESP-TV-15-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
18;2;DESP-TV-16-SEV;DESP-TV-16-SEV;DESP-TV-16-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
19;2;DESP-TV-17-SEV;DESP-TV-17-SEV;DESP-TV-17-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
20;2;DESP-TV-18-SEV;DESP-TV-18-SEV;DESP-TV-18-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
21;2;DESP-TV-19-SEV;DESP-TV-19-SEV;DESP-TV-19-SEV;Despeñaperros;DESPEÑAPERROS;;SEV;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
22;2;DESP-TV-1-MAD;DESP-TV-1-MAD;DESP-TV-1-MAD;Despeñaperros;DESPEÑAPERROS;;MAD;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
23;2;DESP-TV-2-MAD;DESP-TV-2-MAD;DESP-TV-2-MAD;Despeñaperros;DESPEÑAPERROS;;MAD;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
24;2;DESP-TV-3-MAD;DESP-TV-3-MAD;DESP-TV-3-MAD;Despeñaperros;DESPEÑAPERROS;;MAD;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
25;2;DESP-TV-4-MAD;DESP-TV-4-MAD;DESP-TV-4-MAD;Despeñaperros;DESPEÑAPERROS;;MAD;CameraDetectorDaiAdapter.groovy;-;-;-;;;;;
